Date,Cash
2000-01-31,1000.00
2000-02-29,2002.47
2000-03-31,3007.40
2000-04-28,4014.82
2000-05-31,5024.72
2000-06-30,6037.12
2000-07-31,7052.01
2000-08-31,8069.40
2000-09-29,9089.30
2000-10-31,10111.72
2000-11-30,11136.65
2000-12-29,12164.12
2001-01-31,13194.12
2001-02-28,14226.66
2001-03-30,15261.75
2001-04-30,16299.39
2001-05-31,17339.58
2001-06-29,18382.35
2001-07-31,19427.68
2001-08-31,20475.60
2001-09-28,21526.10
2001-10-31,22579.19
2001-11-30,23634.87
2001-12-31,24693.16
2002-01-31,25754.06
2002-02-28,26817.58
2002-03-28,27883.72
2002-04-30,28952.49
2002-05-31,30023.89
2002-06-28,31097.94
2002-07-31,1000.00
2002-08-30,2002.47
2002-09-30,3007.40
2002-10-31,4014.82
2002-11-29,5024.72
2002-12-31,6037.12
2003-01-31,7052.01
2003-02-28,8069.40
2003-03-31,9089.30
2003-04-30,10111.72
2003-05-30,11136.65
2003-06-30,12164.12
2003-07-31,13194.12
2003-08-29,14226.66
2003-09-30,15261.75
2003-10-31,16299.39
2003-11-28,17339.58
2003-12-31,18382.35
2004-01-30,19427.68
2004-02-27,20475.60
2004-03-31,21526.10
2004-04-30,22579.19
2004-05-28,23634.87
2004-06-30,24693.16
2004-07-30,25754.06
2004-08-31,26817.58
2004-09-30,27883.72
2004-10-29,28952.49
2004-11-30,30023.89
2004-12-31,31097.94
2005-01-31,32174.63
2005-02-28,33253.99
2005-03-31,34336.00
2005-04-29,35420.68
2005-05-31,36508.04
2005-06-30,37598.08
2005-07-29,38690.80
2005-08-31,39786.23
2005-09-30,40884.35
2005-10-31,41985.18
2005-11-30,43088.73
2005-12-30,44195.00
2006-01-31,45303.99
2006-02-28,46415.72
2006-03-31,47530.20
2006-04-28,48647.42
2006-05-31,49767.40
2006-06-30,50890.14
2006-07-31,52015.65
2006-08-31,53143.93
2006-09-29,54275.00
2006-10-31,55408.86
2006-11-30,56545.51
2006-12-29,57684.97
2007-01-31,58827.23
2007-02-28,59972.32
2007-03-30,61120.22
2007-04-30,62270.96
2007-05-31,63424.54
2007-06-29,64580.96
2007-07-31,65740.24
2007-08-31,66902.37
2007-09-28,68067.37
2007-10-31,69235.24
2007-11-30,70405.99
2007-12-31,71579.63
2008-01-31,72756.17
2008-02-29,73935.60
2008-03-31,75117.95
2008-04-30,76303.21
2008-05-30,77491.40
2008-06-30,78682.51
2008-07-31,79876.56
2008-08-29,81073.56
2008-09-30,82273.51
2008-10-31,83476.42
2008-11-28,84682.29
2008-12-31,85891.14
2009-01-30,87102.97
2009-02-27,0.00
2009-03-31,1000.00
2009-04-30,2002.47
2009-05-29,3007.40
2009-06-30,4014.82
2009-07-31,5024.72
2009-08-31,6037.12
2009-09-30,7052.01
2009-10-30,8069.40
2009-11-30,9089.30
2009-12-31,10111.72
2010-01-29,11136.65
2010-02-26,12164.12
2010-03-31,13194.12
2010-04-30,14226.66
2010-05-28,15261.75
2010-06-30,16299.39
2010-07-30,17339.58
2010-08-31,18382.35
2010-09-30,19427.68
2010-10-29,20475.60
2010-11-30,21526.10
2010-12-31,22579.19
2011-01-31,23634.87
2011-02-28,24693.16
2011-03-31,25754.06
2011-04-29,26817.58
2011-05-31,27883.72
2011-06-30,28952.49
2011-07-29,30023.89
2011-08-31,31097.94
2011-09-30,32174.63
2011-10-31,33253.99
2011-11-30,34336.00
2011-12-30,35420.68
2012-01-31,36508.04
2012-02-29,37598.08
2012-03-30,38690.80
2012-04-30,39786.23
2012-05-31,40884.35
2012-06-29,41985.18
2012-07-31,43088.73
2012-08-31,44195.00
2012-09-28,45303.99
2012-10-31,46415.72
2012-11-30,47530.20
2012-12-31,48647.42
2013-01-31,49767.40
2013-02-28,50890.14
2013-03-28,52015.65
2013-04-30,53143.93
2013-05-31,54275.00
2013-06-28,55408.86
2013-07-31,56545.51
2013-08-30,57684.97
2013-09-30,58827.23
2013-10-31,59972.32
2013-11-29,61120.22
2013-12-31,62270.96
2014-01-31,63424.54
2014-02-28,64580.96
2014-03-31,65740.24
2014-04-30,66902.37
2014-05-30,68067.37
2014-06-30,69235.24
2014-07-31,70405.99
2014-08-29,71579.63
2014-09-30,72756.17
2014-10-31,73935.60
2014-11-28,75117.95
2014-12-31,76303.21
2015-01-30,77491.40
2015-02-27,78682.51
2015-03-31,79876.56
2015-04-30,81073.56
2015-05-29,82273.51
2015-06-30,83476.42
2015-07-31,84682.29
2015-08-31,85891.14
2015-09-30,87102.97
2015-10-30,88317.79
2015-11-30,89535.61
2015-12-31,90756.43
2016-01-29,91980.26
2016-02-29,93207.10
2016-03-31,94436.98
2016-04-29,95669.89
2016-05-31,96905.83
2016-06-30,98144.83
2016-07-29,99386.88
2016-08-31,100632.00
2016-09-30,101880.18
2016-10-31,103131.45
2016-11-30,104385.80
2016-12-30,105643.24
2017-01-31,106903.78
2017-02-28,108167.44
2017-03-31,109434.21
2017-04-28,110704.10
2017-05-31,111977.13
2017-06-30,113253.29
2017-07-31,114532.61
2017-08-31,115815.08
2017-09-29,117100.71
2017-10-31,118389.51
2017-11-30,119681.49
2017-12-29,120976.66
2018-01-31,122275.02
2018-02-28,123576.58
2018-03-29,124881.35
2018-04-30,126189.34
2018-05-31,127500.56
2018-06-29,128815.01
2018-07-31,130132.70
2018-08-31,131453.65
2018-09-28,132777.85
2018-10-31,134105.31
2018-11-30,135436.05
2018-12-31,136770.07
2019-01-31,138107.39
2019-02-28,139448.00
2019-03-29,140791.91
2019-04-30,142139.14
2019-05-31,143489.70
2019-06-28,144843.58
2019-07-31,146200.81
2019-08-30,147561.38
2019-09-30,148925.30
2019-10-31,150292.59
2019-11-29,151663.25
2019-12-31,153037.30
2020-01-31,154414.73
2020-02-28,155795.56
2020-03-31,157179.79
2020-04-30,158567.44
2020-05-29,159958.51
2020-06-30,161353.01
2020-07-31,162750.95
2020-08-31,164152.34
2020-09-30,165557.18
2020-10-30,166965.49
2020-11-30,168377.27
2020-12-31,169792.53
2021-01-29,171211.29
2021-02-26,172633.54
2021-03-31,174059.30
2021-04-30,175488.58
2021-05-28,176921.38
2021-06-30,178357.72
2021-07-30,179797.60
2021-08-31,181241.03
2021-09-30,182688.02
2021-10-29,184138.57
2021-11-30,185592.71
2021-12-31,187050.43
2022-01-31,188511.75
2022-02-28,189976.67
2022-03-31,191445.20
2022-04-29,192917.36
2022-05-31,194393.14
2022-06-30,195872.57
2022-07-29,197355.64
2022-08-31,198842.38
2022-09-30,200332.78
2022-10-31,201826.85
2022-11-30,203324.61
2022-12-30,204826.06
2023-01-31,206331.22
2023-02-28,207840.09
2023-03-31,209352.68
2023-04-28,210869.00
2023-05-31,212389.06
