Date,Smart
2000-01-31,1000.00
2000-02-29,2002.47
2000-03-31,3007.40
2000-04-28,4014.82
2000-05-31,5024.72
2000-06-30,6037.12
2000-07-31,7052.01
2000-08-31,8069.40
2000-09-29,9089.30
2000-10-31,10111.72
2000-11-30,11136.65
2000-12-29,12164.12
2001-01-31,13194.12
2001-02-28,14226.66
2001-03-30,15261.75
2001-04-30,16299.39
2001-05-31,17339.58
2001-06-29,18382.35
2001-07-31,19427.68
2001-08-31,20475.60
2001-09-28,21526.10
2001-10-31,22579.19
2001-11-30,23634.87
2001-12-31,24693.16
2002-01-31,25754.06
2002-02-28,26817.58
2002-03-28,27883.72
2002-04-30,28952.49
2002-05-31,30023.89
2002-06-28,31097.94
2002-07-31,40086.06
2002-08-30,42485.72
2002-09-30,43319.21
2002-10-31,47807.69
2002-11-29,47650.58
2002-12-31,46188.55
2003-01-31,47128.69
2003-02-28,47411.44
2003-03-31,52496.81
2003-04-30,52386.60
2003-05-30,52051.56
2003-06-30,51084.10
2003-07-31,52181.85
2003-08-29,51699.14
2003-09-30,52688.88
2003-10-31,54338.72
2003-11-28,54745.60
2003-12-31,57579.00
2004-01-30,59959.72
2004-02-27,61531.53
2004-03-31,60152.63
2004-04-30,63726.50
2004-05-28,66249.24
2004-06-30,67299.88
2004-07-30,68031.86
2004-08-31,71453.07
2004-09-30,71159.40
2004-10-29,73803.09
2004-11-30,76548.07
2004-12-31,80013.12
2005-01-31,82077.06
2005-02-28,84033.75
2005-03-31,86323.33
2005-04-29,88545.91
2005-05-31,88665.03
2005-06-30,88122.74
2005-07-29,88407.07
2005-08-31,89275.82
2005-09-30,90288.07
2005-10-31,90873.62
2005-11-30,91513.12
2005-12-30,91325.46
2006-01-31,90426.90
2006-02-28,91843.41
2006-03-31,94195.03
2006-04-28,94831.58
2006-05-31,97469.26
2006-06-30,98354.36
2006-07-31,101563.16
2006-08-31,104614.10
2006-09-29,105968.05
2006-10-31,109060.10
2006-11-30,109263.46
2006-12-29,110490.90
2007-01-31,112257.05
2007-02-28,110555.65
2007-03-30,109557.40
2007-04-30,113891.20
2007-05-31,114562.44
2007-06-29,114385.25
2007-07-31,114639.28
2007-08-31,117127.41
2007-09-28,121470.59
2007-10-31,122207.66
2007-11-30,125756.45
2007-12-31,126080.30
2008-01-31,124347.96
2008-02-29,124844.55
2008-03-31,128417.88
2008-04-30,131427.18
2008-05-30,132654.04
2008-06-30,131861.48
2008-07-31,136469.11
2008-08-29,139603.30
2008-09-30,139847.56
2008-10-31,134452.06
2008-11-28,133688.96
2008-12-31,135943.53
2009-01-30,135365.08
2009-02-27,130444.49
2009-03-31,138227.60
2009-04-30,138603.94
2009-05-29,147998.60
2009-06-30,153316.85
2009-07-31,165077.54
2009-08-31,165986.19
2009-09-30,168191.97
2009-10-30,164339.96
2009-11-30,176496.14
2009-12-31,181701.08
2010-01-29,178596.78
2010-02-26,181087.53
2010-03-31,188016.43
2010-04-30,186635.80
2010-05-28,172792.72
2010-06-30,175883.94
2010-07-30,174303.12
2010-08-31,173676.65
2010-09-30,188176.10
2010-10-29,194071.87
2010-11-30,190387.11
2010-12-31,192263.24
2011-01-31,187612.50
2011-02-28,194543.55
2011-03-31,189550.21
2011-04-29,208499.99
2011-05-31,215275.70
2011-06-30,214200.13
2011-07-29,210453.77
2011-08-31,215715.18
2011-09-30,210871.76
2011-10-31,213915.13
2011-11-30,217352.20
2011-12-30,220868.81
2012-01-31,222889.35
2012-02-29,223009.04
2012-03-30,226608.85
2012-04-30,225254.16
2012-05-31,220200.17
2012-06-29,236035.74
2012-07-31,241907.26
2012-08-31,239350.70
2012-09-28,244743.12
2012-10-31,251382.76
2012-11-30,250839.79
2012-12-31,253035.80
2013-01-31,265293.63
2013-02-28,274303.59
2013-03-28,291338.97
2013-04-30,303328.26
2013-05-31,302959.21
2013-06-28,309056.12
2013-07-31,332762.83
2013-08-30,314569.24
2013-09-30,316543.90
2013-10-31,335288.27
2013-11-29,344180.18
2013-12-31,336150.73
2014-01-31,327974.65
2014-02-28,341726.20
2014-03-31,361267.55
2014-04-30,371635.76
2014-05-30,375102.68
2014-06-30,385833.26
2014-07-31,373295.44
2014-08-29,387287.41
2014-09-30,397168.49
2014-10-31,401969.76
2014-11-28,406391.49
2014-12-31,396314.98
2015-01-30,383946.19
2015-02-27,394243.10
2015-03-31,389557.51
2015-04-30,386444.83
2015-05-29,392448.15
2015-06-30,385350.00
2015-07-31,395073.75
2015-08-31,378918.56
2015-09-30,378166.05
2015-10-30,403326.93
2015-11-30,407153.94
2015-12-31,413017.94
2016-01-29,419637.90
2016-02-29,425291.12
2016-03-31,435958.60
2016-04-29,449438.32
2016-05-31,454736.86
2016-06-30,483315.69
2016-07-29,497036.89
2016-08-31,481717.82
2016-09-30,479102.14
2016-10-31,473519.79
2016-11-30,461882.83
2016-12-30,475699.23
2017-01-31,470664.24
2017-02-28,502872.20
2017-03-31,511696.54
2017-04-28,509478.33
2017-05-31,528497.57
2017-06-30,542894.51
2017-07-31,545570.37
2017-08-31,548036.17
2017-09-29,541615.81
2017-10-31,573597.99
2017-11-30,576969.83
2017-12-29,579544.99
2018-01-31,575821.82
2018-02-28,552143.22
2018-03-29,547739.45
2018-04-30,543569.94
2018-05-31,524686.28
2018-06-29,531711.79
2018-07-31,570151.53
2018-08-31,581201.57
2018-09-28,594145.94
2018-10-31,601550.65
2018-11-30,628596.64
2018-12-31,570006.14
2019-01-31,584872.63
2019-02-28,600728.93
2019-03-29,612706.87
2019-04-30,618814.11
2019-05-31,588799.75
2019-06-28,617758.46
2019-07-31,588353.13
2019-08-30,586139.07
2019-09-30,590988.13
2019-10-31,601444.01
2019-11-29,624188.42
2019-12-31,654362.79
2020-01-31,666050.61
2020-02-28,620521.71
2020-03-31,610329.29
2020-04-30,677064.70
2020-05-29,677040.27
2020-06-30,650208.21
2020-07-31,669438.91
2020-08-31,700427.96
2020-09-30,685997.28
2020-10-30,646261.17
2020-11-30,677139.14
2020-12-31,723213.52
2021-01-29,744851.94
2021-02-26,732793.70
2021-03-31,755040.76
2021-04-30,750743.26
2021-05-28,778370.35
2021-06-30,763779.91
2021-07-30,791729.71
2021-08-31,799584.38
2021-09-30,759494.17
2021-10-29,765873.49
2021-11-30,745632.49
2021-12-31,801467.24
2022-01-31,807310.28
2022-02-28,784292.68
2022-03-31,831480.57
2022-04-29,844617.35
2022-05-31,846188.66
2022-06-30,840334.33
2022-07-29,830962.04
2022-08-31,787939.20
2022-09-30,796805.19
2022-10-31,837039.30
2022-11-30,856782.52
2022-12-30,853327.95
2023-01-31,806264.31
2023-02-28,773828.17
2023-03-31,781766.58
2023-04-28,815411.93
2023-05-31,788699.52
