Date,Steady
2000-01-31,1000.00
2000-02-29,1839.16
2000-03-31,2794.46
2000-04-28,4281.75
2000-05-31,5659.22
2000-06-30,7441.71
2000-07-31,7797.98
2000-08-31,8726.65
2000-09-29,9914.98
2000-10-31,10723.67
2000-11-30,12673.47
2000-12-29,14315.07
2001-01-31,13689.23
2001-02-28,15347.71
2001-03-30,14792.91
2001-04-30,17316.68
2001-05-31,18453.51
2001-06-29,20018.82
2001-07-31,22677.70
2001-08-31,23157.64
2001-09-28,25339.47
2001-10-31,27487.52
2001-11-30,28719.17
2001-12-31,30138.25
2002-01-31,30327.42
2002-02-28,33200.46
2002-03-28,36408.37
2002-04-30,36797.36
2002-05-31,36450.79
2002-06-28,32050.01
2002-07-31,33258.53
2002-08-30,35447.40
2002-09-30,36297.29
2002-10-31,40431.68
2002-11-29,40354.24
2002-12-31,39011.69
2003-01-31,39939.05
2003-02-28,40206.94
2003-03-31,45361.78
2003-04-30,45178.16
2003-05-30,44724.79
2003-06-30,43544.10
2003-07-31,44619.90
2003-08-29,43885.76
2003-09-30,44832.65
2003-10-31,46565.98
2003-11-28,46790.70
2003-12-31,50030.58
2004-01-30,52735.06
2004-02-27,54416.69
2004-03-31,52196.71
2004-04-30,56603.07
2004-05-28,59621.19
2004-06-30,60610.49
2004-07-30,61142.58
2004-08-31,65552.29
2004-09-30,64555.26
2004-10-29,67904.60
2004-11-30,71438.43
2004-12-31,76109.83
2005-01-31,78645.95
2005-02-28,81028.62
2005-03-31,83955.53
2005-04-29,86793.14
2005-05-31,86211.29
2005-06-30,84513.17
2005-07-29,84160.96
2005-08-31,84777.25
2005-09-30,85630.14
2005-10-31,85737.03
2005-11-30,85923.21
2005-12-30,84627.29
2006-01-31,82022.53
2006-02-28,83576.55
2006-03-31,86852.61
2006-04-28,86957.98
2006-05-31,90815.60
2006-06-30,91363.17
2006-07-31,96373.27
2006-08-31,101112.97
2006-09-29,102550.82
2006-10-31,107435.56
2006-11-30,106566.66
2006-12-29,107744.50
2007-01-31,110017.47
2007-02-28,105156.26
2007-03-30,101694.68
2007-04-30,109377.57
2007-05-31,109355.55
2007-06-29,107503.69
2007-07-31,106549.72
2007-08-31,110439.03
2007-09-28,118427.48
2007-10-31,118472.13
2007-11-30,124790.56
2007-12-31,123874.68
2008-01-31,118263.08
2008-02-29,117697.81
2008-03-31,124225.58
2008-04-30,129476.85
2008-05-30,130567.70
2008-06-30,126872.43
2008-07-31,136016.41
2008-08-29,141672.32
2008-09-30,140359.06
2008-10-31,125272.87
2008-11-28,121434.11
2008-12-31,125025.32
2009-01-30,121553.40
2009-02-27,107100.69
2009-03-31,113669.93
2009-04-30,114151.29
2009-05-29,122162.17
2009-06-30,126794.26
2009-07-31,136924.34
2009-08-31,137835.59
2009-09-30,139861.83
2009-10-30,136635.43
2009-11-30,147372.45
2009-12-31,152054.42
2010-01-29,149395.29
2010-02-26,151700.72
2010-03-31,157998.20
2010-04-30,156817.25
2010-05-28,144284.60
2010-06-30,147165.50
2010-07-30,145748.46
2010-08-31,145198.49
2010-09-30,158777.94
2010-10-29,164339.36
2010-11-30,160856.60
2010-12-31,162640.63
2011-01-31,158171.07
2011-02-28,164835.87
2011-03-31,159960.38
2011-04-29,178427.78
2011-05-31,185035.07
2011-06-30,183917.70
2011-07-29,180134.53
2011-08-31,185315.03
2011-09-30,180372.54
2011-10-31,183354.97
2011-11-30,186745.15
2011-12-30,190226.62
2012-01-31,192183.85
2012-02-29,192183.30
2012-03-30,195781.96
2012-04-30,194229.31
2012-05-31,188786.57
2012-06-29,205299.54
2012-07-31,211343.92
2012-08-31,208450.33
2012-09-28,214025.55
2012-10-31,220957.75
2012-11-30,220171.01
2012-12-31,222339.26
2013-01-31,235455.33
2013-02-28,245071.85
2013-03-28,263524.08
2013-04-30,276483.36
2013-05-31,275825.56
2013-06-28,282330.28
2013-07-31,308452.60
2013-08-30,287863.34
2013-09-30,289796.11
2013-10-31,310586.09
2013-11-29,320322.15
2013-12-31,310933.48
2014-01-31,301341.59
2014-02-28,316688.35
2014-03-31,338693.19
2014-04-30,350243.94
2014-05-30,353889.64
2014-06-30,365911.64
2014-07-31,351067.81
2014-08-29,366925.06
2014-09-30,378041.73
2014-10-31,383262.31
2014-11-28,388047.07
2014-12-31,375855.27
2015-01-30,360932.54
2015-02-27,372657.05
2015-03-31,366713.57
2015-04-30,362610.19
2015-05-29,369313.91
2015-06-30,360430.13
2015-07-31,371600.29
2015-08-31,351812.08
2015-09-30,350453.67
2015-10-30,380285.85
2015-11-30,384435.72
2015-12-31,391055.70
2016-01-29,398603.75
2016-02-29,404988.54
2016-03-31,417498.04
2016-04-29,433469.34
2016-05-31,439447.20
2016-06-30,474022.86
2016-07-29,490380.73
2016-08-31,470953.83
2016-09-30,467178.78
2016-10-31,459715.55
2016-11-30,444715.22
2016-12-30,461338.17
2017-01-31,454489.70
2017-02-28,494152.15
2017-03-31,504613.88
2017-04-28,501238.25
2017-05-31,524544.31
2017-06-30,542067.94
2017-07-31,544829.93
2017-08-31,547325.66
2017-09-29,538567.49
2017-10-31,578507.11
2017-11-30,582150.32
2017-12-29,584779.82
2018-01-31,579376.21
2018-02-28,548465.69
2018-03-29,542160.09
2018-04-30,536137.20
2018-05-31,511196.32
2018-06-29,519546.71
2018-07-31,568416.63
2018-08-31,581984.68
2018-09-28,598021.46
2018-10-31,606898.74
2018-11-30,641285.64
2018-12-31,564362.27
2019-01-31,582986.28
2019-02-28,602927.89
2019-03-29,617827.33
2019-04-30,625059.10
2019-05-31,584930.60
2019-06-28,622190.52
2019-07-31,582717.77
2019-08-30,579006.72
2019-09-30,584607.76
2019-10-31,597627.00
2019-11-29,626940.18
2019-12-31,666152.07
2020-01-31,680852.33
2020-02-28,619427.87
2020-03-31,604997.48
2020-04-30,693242.93
2020-05-29,692350.37
2020-06-30,655556.21
2020-07-31,680470.00
2020-08-31,721205.53
2020-09-30,700909.27
2020-10-30,646497.50
2020-11-30,687242.93
2020-12-31,748569.13
2021-01-29,776918.68
2021-02-26,759661.17
2021-03-31,788897.97
2021-04-30,782121.75
2021-05-28,818735.75
2021-06-30,797918.94
2021-07-30,835051.45
2021-08-31,844800.33
2021-09-30,789050.88
2021-10-29,796793.26
2021-11-30,768077.77
2021-12-31,843654.24
2022-01-31,850670.76
2022-02-28,818014.32
2022-03-31,881942.26
2022-04-29,899015.63
2022-05-31,900147.41
2022-06-30,891019.29
2022-07-29,877010.90
2022-08-31,816402.64
2022-09-30,827624.15
2022-10-31,882377.16
2022-11-30,908722.02
2022-12-30,902830.00
2023-01-31,836213.59
2023-02-28,789899.52
2023-03-31,799867.48
2023-04-28,845763.25
2023-05-31,807265.66
2023-06-30,862722.03
2023-07-31,874198.51
2023-08-31,849781.16
2023-09-29,819613.44
2023-10-31,781619.29
2023-11-30,821392.79
2023-12-29,833439.59
2024-01-31,845924.98
2024-02-29,865652.51
2024-03-28,849541.13
2024-04-30,777503.87
2024-05-31,795158.13
2024-06-28,793393.25
2024-07-31,857849.52
2024-08-30,908183.44
2024-09-30,888376.13
2024-10-31,877316.25
2024-11-29,857474.69
2024-12-31,800999.94
2025-01-31,843705.99
2025-02-28,922266.70
2025-03-31,927849.49
2025-04-30,875530.60
2025-05-30,876608.32
2025-06-30,863714.48
2025-07-31,932511.15
2025-08-29,1010120.56
2025-09-30,1058157.27
2025-10-31,1078845.76
2025-11-28,1189239.10
2025-12-31,1190411.51
2026-01-30,1308180.58
2026-02-27,1437491.04
2026-03-31,1415403.75
2026-04-30,1331921.93
2026-05-29,1313160.40
2026-06-30,1481066.33
2026-07-21,1462471.96
2026-07-21,1462471.96
