Date,Smart
2000-01-31,1000.00
2000-02-29,2002.47
2000-03-31,3017.11
2000-04-28,4033.00
2000-05-31,5301.16
2000-06-30,6489.81
2000-07-31,7666.69
2000-08-31,8305.41
2000-09-29,9433.85
2000-10-31,10678.09
2000-11-30,11801.47
2000-12-29,12750.81
2001-01-31,13648.53
2001-02-28,14460.75
2001-03-30,15156.03
2001-04-30,16889.03
2001-05-31,18307.73
2001-06-29,18538.50
2001-07-31,19407.86
2001-08-31,21822.46
2001-09-28,22354.15
2001-10-31,23727.78
2001-11-30,24478.02
2001-12-31,25564.31
2002-01-31,25398.71
2002-02-28,27695.53
2002-03-28,30489.09
2002-04-30,32658.70
2002-05-31,33708.78
2002-06-28,34959.13
2002-07-31,33865.23
2002-08-30,35278.28
2002-09-30,35307.61
2002-10-31,35830.65
2002-11-29,36642.95
2002-12-31,37055.83
2003-01-31,37550.42
2003-02-28,38336.08
2003-03-31,39754.76
2003-04-30,40689.56
2003-05-30,46392.74
2003-06-30,48335.22
2003-07-31,48037.70
2003-08-29,47733.56
2003-09-30,48406.91
2003-10-31,52577.66
2003-11-28,53863.77
2003-12-31,58796.40
2004-01-30,58438.92
2004-02-27,60133.04
2004-03-31,61683.43
2004-04-30,62970.25
2004-05-28,64730.30
2004-06-30,65161.92
2004-07-30,60072.54
2004-08-31,61908.14
2004-09-30,58823.64
2004-10-29,60444.81
2004-11-30,60438.26
2004-12-31,63677.97
2005-01-31,64598.44
2005-02-28,66888.42
2005-03-31,67114.16
2005-04-29,69849.31
2005-05-31,72041.05
2005-06-30,70617.30
2005-07-29,73596.60
2005-08-31,74903.13
2005-09-30,75440.23
2005-10-31,76134.71
2005-11-30,77359.97
2005-12-30,76172.49
2006-01-31,78289.14
2006-02-28,79949.16
2006-03-31,81198.89
2006-04-28,82386.38
2006-05-31,85483.03
2006-06-30,85869.98
2006-07-31,88412.71
2006-08-31,89824.75
2006-09-29,91067.75
2006-10-31,94172.81
2006-11-30,95656.57
2006-12-29,98170.78
2007-01-31,98933.72
2007-02-28,98886.11
2007-03-30,101598.15
2007-04-30,106862.92
2007-05-31,108788.30
2007-06-29,109546.18
2007-07-31,110490.16
2007-08-31,113290.91
2007-09-28,118390.66
2007-10-31,123816.50
2007-11-30,125591.49
2007-12-31,126017.12
2008-01-31,124803.84
2008-02-29,125425.39
2008-03-31,129333.95
2008-04-30,128488.79
2008-05-30,128039.05
2008-06-30,124192.65
2008-07-31,124883.34
2008-08-29,126639.72
2008-09-30,128959.69
2008-10-31,122297.75
2008-11-28,131950.27
2008-12-31,128519.19
2009-01-30,122456.70
2009-02-27,118281.98
2009-03-31,128957.30
2009-04-30,127455.06
2009-05-29,145561.01
2009-06-30,144266.96
2009-07-31,150500.43
2009-08-31,148511.41
2009-09-30,164444.21
2009-10-30,164368.27
2009-11-30,177415.85
2009-12-31,177880.34
2010-01-29,171072.35
2010-02-26,167747.53
2010-03-31,176384.75
2010-04-30,172977.29
2010-05-28,168136.03
2010-06-30,166547.06
2010-07-30,182038.59
2010-08-31,185322.26
2010-09-30,195105.48
2010-10-29,204320.08
2010-11-30,211851.07
2010-12-31,220532.95
2011-01-31,213048.65
2011-02-28,217254.23
2011-03-31,226608.96
2011-04-29,230986.43
2011-05-31,230150.15
2011-06-30,233857.66
2011-07-29,237077.22
2011-08-31,245399.41
2011-09-30,239073.02
2011-10-31,242432.20
2011-11-30,241481.47
2011-12-30,250799.80
2012-01-31,244580.43
2012-02-29,252674.17
2012-03-30,267594.46
2012-04-30,275676.19
2012-05-31,271988.51
2012-06-29,284910.40
2012-07-31,293951.43
2012-08-31,276855.77
2012-09-28,282519.73
2012-10-31,279065.17
2012-11-30,286042.49
2012-12-31,276916.69
2013-01-31,284130.98
2013-02-28,294357.55
2013-03-28,307585.59
2013-04-30,320407.20
2013-05-31,307092.16
2013-06-28,310435.27
2013-07-31,311399.54
2013-08-30,300743.12
2013-09-30,301485.76
2013-10-31,313214.43
2013-11-29,319735.56
2013-12-31,327946.43
2014-01-31,307158.89
2014-02-28,310720.21
2014-03-31,316418.95
2014-04-30,331085.09
2014-05-30,333024.50
2014-06-30,345102.48
2014-07-31,326720.87
2014-08-29,343396.84
2014-09-30,352251.51
2014-10-31,348443.60
2014-11-28,370233.16
2014-12-31,354598.25
2015-01-30,349028.49
2015-02-27,363973.16
2015-03-31,349244.00
2015-04-30,350520.79
2015-05-29,354333.41
2015-06-30,346089.51
2015-07-31,359408.85
2015-08-31,349122.73
2015-09-30,357502.42
2015-10-30,373422.68
2015-11-30,378250.79
2015-12-31,381741.02
2016-01-29,382714.80
2016-02-29,385349.22
2016-03-31,410223.81
2016-04-29,400860.85
2016-05-31,400777.37
2016-06-30,408888.81
2016-07-29,398726.54
2016-08-31,398643.59
2016-09-30,394441.77
2016-10-31,396249.72
2016-11-30,385616.36
2016-12-30,394452.03
2017-01-31,396477.66
2017-02-28,400414.11
2017-03-31,407120.38
2017-04-28,413279.42
2017-05-31,430492.54
2017-06-30,429668.82
2017-07-31,437806.53
2017-08-31,437100.51
2017-09-29,436781.65
2017-10-31,444836.24
2017-11-30,446861.11
2017-12-29,448943.01
2018-01-31,462237.98
2018-02-28,432938.78
2018-03-29,438024.14
2018-04-30,437795.36
2018-05-31,437640.45
2018-06-29,447385.90
2018-07-31,468421.26
2018-08-31,455107.03
2018-09-28,470334.81
2018-10-31,483785.23
2018-11-30,505616.83
2018-12-31,484971.19
2019-01-31,491950.35
2019-02-28,473186.48
2019-03-29,488011.52
2019-04-30,505359.02
2019-05-31,507234.88
2019-06-28,524058.80
2019-07-31,537938.69
2019-08-30,556941.28
2019-09-30,556417.13
2019-10-31,557727.79
2019-11-29,554025.99
2019-12-31,569857.94
2020-01-31,593839.52
2020-02-28,558876.01
2020-03-31,503209.05
2020-04-30,522824.45
2020-05-29,532795.40
2020-06-30,514961.31
2020-07-31,545246.60
2020-08-31,572446.68
2020-09-30,575493.62
2020-10-30,561427.82
2020-11-30,607200.63
2020-12-31,645778.90
2021-01-29,569258.03
2021-02-26,580022.19
2021-03-31,628482.63
2021-04-30,644340.01
2021-05-28,660666.85
2021-06-30,651970.41
2021-07-30,687314.03
2021-08-31,679898.43
2021-09-30,639765.25
2021-10-29,686921.70
2021-11-30,645828.05
2021-12-31,727344.06
2022-01-31,749824.77
2022-02-28,765523.56
2022-03-31,768420.33
2022-04-29,800747.72
2022-05-31,787080.32
2022-06-30,787255.09
2022-07-29,803514.22
2022-08-31,774936.01
2022-09-30,711649.11
2022-10-31,759183.04
2022-11-30,810385.62
2022-12-30,811470.30
2023-01-31,784619.37
2023-02-28,763627.17
2023-03-31,800348.22
2023-04-28,827474.85
2023-05-31,773440.89
