Date,Steady
2000-01-31,1000.00
2000-02-29,1846.57
2000-03-31,2788.35
2000-04-28,3806.91
2000-05-31,5300.40
2000-06-30,6719.20
2000-07-31,8172.50
2000-08-31,8016.61
2000-09-29,9417.95
2000-10-31,11314.90
2000-11-30,12763.74
2000-12-29,13419.81
2001-01-31,13772.90
2001-02-28,13592.71
2001-03-30,12611.62
2001-04-30,13899.26
2001-05-31,15263.37
2001-06-29,15538.67
2001-07-31,16400.54
2001-08-31,18897.19
2001-09-28,19356.41
2001-10-31,20781.96
2001-11-30,21449.03
2001-12-31,22535.82
2002-01-31,21910.75
2002-02-28,24733.73
2002-03-28,28371.72
2002-04-30,31136.13
2002-05-31,32164.17
2002-06-28,33519.58
2002-07-31,30892.28
2002-08-30,32547.98
2002-09-30,31709.22
2002-10-31,31730.70
2002-11-29,32274.93
2002-12-31,32002.03
2003-01-31,30534.72
2003-02-28,31353.60
2003-03-31,32710.64
2003-04-30,33645.99
2003-05-30,38951.68
2003-06-30,40827.45
2003-07-31,40560.66
2003-08-29,40252.83
2003-09-30,40901.14
2003-10-31,45176.28
2003-11-28,46454.11
2003-12-31,51699.92
2004-01-30,51161.66
2004-02-27,52909.76
2004-03-31,54503.67
2004-04-30,55796.24
2004-05-28,57656.85
2004-06-30,57913.31
2004-07-30,51318.50
2004-08-31,53313.04
2004-09-30,48992.36
2004-10-29,50738.57
2004-11-30,50315.20
2004-12-31,54297.51
2005-01-31,55101.91
2005-02-28,57841.69
2005-03-31,57628.59
2005-04-29,61076.45
2005-05-31,63749.59
2005-06-30,60959.87
2005-07-29,64894.70
2005-08-31,66250.62
2005-09-30,66383.83
2005-10-31,66753.65
2005-11-30,67979.75
2005-12-30,65189.83
2006-01-31,67920.25
2006-02-28,69888.66
2006-03-31,71152.48
2006-04-28,72305.43
2006-05-31,76872.45
2006-06-30,76568.14
2006-07-31,80202.28
2006-08-31,81761.00
2006-09-29,83003.07
2006-10-31,87792.83
2006-11-30,89494.36
2006-12-29,93208.04
2007-01-31,93493.29
2007-02-28,92150.09
2007-03-30,96335.05
2007-04-30,105744.29
2007-05-31,108365.21
2007-06-29,108573.71
2007-07-31,109158.59
2007-08-31,113656.86
2007-09-28,123080.82
2007-10-31,133268.50
2007-11-30,135614.09
2007-12-31,135019.91
2008-01-31,130805.69
2008-02-29,130608.48
2008-03-31,137731.40
2008-04-30,134205.97
2008-05-30,131535.66
2008-06-30,121078.43
2008-07-31,120960.36
2008-08-29,123299.14
2008-09-30,126960.58
2008-10-31,106784.48
2008-11-28,115399.55
2008-12-31,112460.16
2009-01-30,107125.44
2009-02-27,103436.18
2009-03-31,113261.19
2009-04-30,111941.85
2009-05-29,128829.53
2009-06-30,127661.36
2009-07-31,133582.66
2009-08-31,131714.81
2009-09-30,147006.04
2009-10-30,146938.40
2009-11-30,159616.79
2009-12-31,160058.69
2010-01-29,153336.56
2010-02-26,150012.05
2010-03-31,158586.52
2010-04-30,155117.27
2010-05-28,150167.97
2010-06-30,148483.67
2010-07-30,164266.87
2010-08-31,167562.02
2010-09-30,177603.95
2010-10-29,187101.75
2010-11-30,194878.38
2010-12-31,203899.33
2011-01-31,195846.79
2011-02-28,200181.01
2011-03-31,210034.47
2011-04-29,214580.43
2011-05-31,213512.87
2011-06-30,217359.94
2011-07-29,220685.69
2011-08-31,229603.23
2011-09-30,222451.45
2011-10-31,225953.87
2011-11-30,224684.65
2011-12-30,234841.80
2012-01-31,227652.36
2012-02-29,236507.10
2012-03-30,253095.56
2012-04-30,261995.17
2012-05-31,257536.96
2012-06-29,272017.50
2012-07-31,282097.51
2012-08-31,262149.68
2012-09-28,268392.05
2012-10-31,264085.06
2012-11-30,271888.17
2012-12-31,260914.21
2013-01-31,269039.88
2013-02-28,280732.11
2013-03-28,296002.42
2013-04-30,310836.38
2013-05-31,294653.37
2013-06-28,298270.81
2013-07-31,299047.73
2013-08-30,285871.30
2013-09-30,286372.86
2013-10-31,300149.26
2013-11-29,307648.92
2013-12-31,317222.38
2014-01-31,291422.42
2014-02-28,295350.52
2014-03-31,301911.95
2014-04-30,319546.01
2014-05-30,321486.08
2014-06-30,336005.74
2014-07-31,312654.05
2014-08-29,332991.02
2014-09-30,343588.02
2014-10-31,338305.83
2014-11-28,365245.66
2014-12-31,344981.07
2015-01-30,337401.46
2015-02-27,355857.51
2015-03-31,336550.14
2015-04-30,337633.16
2015-05-29,341962.85
2015-06-30,330799.83
2015-07-31,347399.63
2015-08-31,333515.90
2015-09-30,343793.18
2015-10-30,363902.31
2015-11-30,369591.81
2015-12-31,373540.22
