Date,Dividend
2000-03-13,0.085000
2000-06-13,0.085000
2000-09-13,0.085000
2000-11-29,0.085000
2001-03-13,0.090000
2001-06-13,0.090000
2001-09-12,0.180000
2001-09-17,0.090000
2001-11-28,0.090000
2002-03-13,0.100000
2002-06-12,0.100000
2002-09-11,0.100000
2002-11-26,0.100000
2003-03-12,0.110000
2003-06-11,0.110000
2003-09-11,0.110000
2003-11-26,0.110000
2004-03-11,0.125000
2004-06-14,0.125000
2004-09-13,0.125000
2004-11-29,0.125000
2005-03-11,0.140000
2005-06-13,0.140000
2005-09-13,0.140000
2005-11-29,0.140000
2006-03-13,0.155000
2006-06-13,0.155000
2006-09-13,0.155000
2006-11-29,0.155000
2007-03-13,0.170000
2007-06-13,0.170000
2007-09-12,0.170000
2007-11-28,0.170000
2008-03-12,0.190000
2008-06-11,0.190000
2008-09-11,0.190000
2008-11-26,0.190000
2009-03-11,0.205000
2009-06-11,0.205000
2009-09-11,0.205000
2009-11-27,0.205000
2010-03-11,0.220000
2010-06-11,0.220000
2010-09-13,0.220000
2010-11-29,0.220000
2011-03-11,0.235000
2011-06-13,0.235000
2011-09-13,0.235000
2011-11-29,0.235000
2012-03-13,0.255000
2012-06-13,0.255000
2012-09-12,0.255000
2012-11-28,0.255000
2013-03-13,0.280000
2013-06-12,0.280000
2013-09-12,0.280000
2013-11-27,0.280000
2014-03-12,0.305000
2014-06-12,0.305000
2014-09-11,0.305000
2014-11-26,0.305000
2015-03-12,0.330000
2015-06-11,0.330000
2015-09-11,0.330000
2015-11-27,0.330000
2016-03-11,0.350000
2016-06-13,0.350000
2016-09-13,0.350000
2016-11-29,0.350000
2017-03-13,0.370000
2017-06-13,0.370000
2017-09-14,0.370000
2017-11-30,0.370000
2018-03-14,0.390000
2018-06-14,0.390000
2018-09-13,0.390000
2018-11-29,0.390000
2019-03-14,0.400000
2019-06-13,0.400000
2019-09-13,0.400000
2019-11-29,0.400000
2020-03-13,0.410000
2020-06-12,0.410000
2020-09-14,0.410000
2020-11-30,0.410000
2021-03-12,0.420000
2021-06-14,0.420000
2021-09-14,0.420000
2021-11-30,0.420000
2022-03-14,0.440000
2022-06-14,0.440000
2022-09-15,0.440000
2022-11-30,0.440000
2023-03-16,0.460000
2023-06-15,0.460000
2023-09-14,0.460000
2023-11-30,0.460000
2024-03-14,0.485000
2024-06-14,0.485000
2024-09-13,0.485000
2024-11-29,0.485000
2025-03-14,0.510000
2025-06-13,0.510000
2025-09-15,0.510000
2025-12-01,0.510000
2026-03-13,0.530000
2026-06-15,0.530000
