label,ticker,category,country,currency
iShares MSCI Japan ETF / EWJ,EWJ,ETF,Japan,JPY
WisdomTree Japan Hedged / DXJ,DXJ,ETF,Japan,JPY
Toyota / 7203.T,7203.T,Stock,Japan,JPY
Sony / 6758.T,6758.T,Stock,Japan,JPY
Nintendo / 7974.T,7974.T,Stock,Japan,JPY
SoftBank Group / 9984.T,9984.T,Stock,Japan,JPY
Keyence / 6861.T,6861.T,Stock,Japan,JPY
Hitachi / 6501.T,6501.T,Stock,Japan,JPY
Mitsubishi UFJ / 8306.T,8306.T,Stock,Japan,JPY
Mitsubishi Corp / 8058.T,8058.T,Stock,Japan,JPY
Fast Retailing / 9983.T,9983.T,Stock,Japan,JPY
Kioxia Holdings / 285A.T,285A.T,Stock,Japan,JPY
Tokyo Electron / 8035.T,8035.T,Stock,Japan,JPY
Sumitomo Mitsui Financial Group / 8316.T,8316.T,Stock,Japan,JPY
Advantest / 6857.T,6857.T,Stock,Japan,JPY
Murata Manufacturing / 6981.T,6981.T,Stock,Japan,JPY
Mizuho Financial Group / 8411.T,8411.T,Stock,Japan,JPY
Recruit Holdings / 6098.T,6098.T,Stock,Japan,JPY
Tokio Marine Holdings / 8766.T,8766.T,Stock,Japan,JPY
Itochu / 8001.T,8001.T,Stock,Japan,JPY
Mitsui & Co / 8031.T,8031.T,Stock,Japan,JPY
Shin-Etsu Chemical / 4063.T,4063.T,Stock,Japan,JPY
Mitsubishi Heavy Industries / 7011.T,7011.T,Stock,Japan,JPY
Chugai Pharmaceutical / 4519.T,4519.T,Stock,Japan,JPY
Mitsubishi Electric / 6503.T,6503.T,Stock,Japan,JPY
Nippon Telegraph & Telephone / 9432.T,9432.T,Stock,Japan,JPY
Japan Post Bank / 7182.T,7182.T,Stock,Japan,JPY
Japan Tobacco / 2914.T,2914.T,Stock,Japan,JPY
Panasonic Holdings / 6752.T,6752.T,Stock,Japan,JPY
KDDI / 9433.T,9433.T,Stock,Japan,JPY
SoftBank Corp / 9434.T,9434.T,Stock,Japan,JPY
