label,ticker,category,country,currency
Vanguard S&P 500 ETF / VOO,VOO,ETF,United States,USD
iShares Core S&P 500 ETF / IVV,IVV,ETF,United States,USD
SPDR S&P 500 ETF Trust / SPY,SPY,ETF,United States,USD
Vanguard Total Stock Market ETF / VTI,VTI,ETF,United States,USD
Invesco QQQ Trust / QQQ,QQQ,ETF,United States,USD
Vanguard FTSE Developed Markets ETF / VEA,VEA,ETF,United States,USD
Vanguard Growth ETF / VUG,VUG,ETF,United States,USD
SPDR Gold Shares / GLD,GLD,ETF,United States,USD
iShares Core MSCI EAFE ETF / IEFA,IEFA,ETF,United States,USD
Vanguard Value ETF / VTV,VTV,ETF,United States,USD
Vanguard Total Bond Market ETF / BND,BND,ETF,United States,USD
iShares Core MSCI Emerging Markets ETF / IEMG,IEMG,ETF,United States,USD
Vanguard Total International Stock ETF / VXUS,VXUS,ETF,United States,USD
iShares Core U.S. Aggregate Bond ETF / AGG,AGG,ETF,United States,USD
Vanguard FTSE Emerging Markets ETF / VWO,VWO,ETF,United States,USD
iShares Russell 1000 Growth ETF / IWF,IWF,ETF,United States,USD
Vanguard Information Technology ETF / VGT,VGT,ETF,United States,USD
iShares Core S&P Mid-Cap ETF / IJH,IJH,ETF,United States,USD
SPDR Portfolio S&P 500 ETF / SPLG,SPLG,ETF,United States,USD
Vanguard Dividend Appreciation ETF / VIG,VIG,ETF,United States,USD
Vanguard Mid-Cap ETF / VO,VO,ETF,United States,USD
iShares Core S&P Small-Cap ETF / IJR,IJR,ETF,United States,USD
Technology Select Sector SPDR Fund / XLK,XLK,ETF,United States,USD
Invesco S&P 500 Equal Weight ETF / RSP,RSP,ETF,United States,USD
Schwab U.S. Dividend Equity ETF / SCHD,SCHD,ETF,United States,USD
iShares Gold Trust / IAU,IAU,ETF,United States,USD
iShares Core S&P Total U.S. Stock Market ETF / ITOT,ITOT,ETF,United States,USD
iShares MSCI EAFE ETF / EFA,EFA,ETF,United States,USD
Vanguard Total International Bond ETF / BNDX,BNDX,ETF,United States,USD
Vanguard High Dividend Yield ETF / VYM,VYM,ETF,United States,USD
iShares 0-3 Month Treasury Bond ETF / SGOV,SGOV,ETF,United States,USD
iShares 20+ Year Treasury Bond ETF / TLT,TLT,ETF,United States,USD
iShares 7-10 Year Treasury Bond ETF / IEF,IEF,ETF,United States,USD
iShares iBoxx Investment Grade Corporate Bond ETF / LQD,LQD,ETF,United States,USD
iShares iBoxx High Yield Corporate Bond ETF / HYG,HYG,ETF,United States,USD
JPMorgan Equity Premium Income ETF / JEPI,JEPI,ETF,United States,USD
JPMorgan Nasdaq Equity Premium Income ETF / JEPQ,JEPQ,ETF,United States,USD
Global X Nasdaq 100 Covered Call ETF / QYLD,QYLD,Covered Call ETF,United States,USD
Global X S&P 500 Covered Call ETF / XYLD,XYLD,Covered Call ETF,United States,USD
Global X Russell 2000 Covered Call ETF / RYLD,RYLD,Covered Call ETF,United States,USD
Vanguard Real Estate ETF / VNQ,VNQ,ETF,United States,USD
Health Care Select Sector SPDR Fund / XLV,XLV,ETF,United States,USD
Financial Select Sector SPDR Fund / XLF,XLF,ETF,United States,USD
Energy Select Sector SPDR Fund / XLE,XLE,ETF,United States,USD
Consumer Staples Select Sector SPDR Fund / XLP,XLP,ETF,United States,USD
Consumer Discretionary Select Sector SPDR Fund / XLY,XLY,ETF,United States,USD
Industrial Select Sector SPDR Fund / XLI,XLI,ETF,United States,USD
Utilities Select Sector SPDR Fund / XLU,XLU,ETF,United States,USD
Communication Services Select Sector SPDR Fund / XLC,XLC,ETF,United States,USD
Materials Select Sector SPDR Fund / XLB,XLB,ETF,United States,USD
NVIDIA / NVDA,NVDA,Stock,United States,USD
Alphabet Class A / GOOGL,GOOGL,Stock,United States,USD
Apple / AAPL,AAPL,Stock,United States,USD
Microsoft / MSFT,MSFT,Stock,United States,USD
Amazon / AMZN,AMZN,Stock,United States,USD
Broadcom / AVGO,AVGO,Stock,United States,USD
Tesla / TSLA,TSLA,Stock,United States,USD
Meta / META,META,Stock,United States,USD
Walmart / WMT,WMT,Stock,United States,USD
Berkshire Hathaway / BRK-B,BRK-B,Stock,United States,USD
Eli Lilly / LLY,LLY,Stock,United States,USD
JPMorgan Chase / JPM,JPM,Stock,United States,USD
Visa / V,V,Stock,United States,USD
Exxon Mobil / XOM,XOM,Stock,United States,USD
Mastercard / MA,MA,Stock,United States,USD
UnitedHealth / UNH,UNH,Stock,United States,USD
Costco / COST,COST,Stock,United States,USD
Netflix / NFLX,NFLX,Stock,United States,USD
Oracle / ORCL,ORCL,Stock,United States,USD
Johnson & Johnson / JNJ,JNJ,Stock,United States,USD
Home Depot / HD,HD,Stock,United States,USD
Procter & Gamble / PG,PG,Stock,United States,USD
Bank of America / BAC,BAC,Stock,United States,USD
AbbVie / ABBV,ABBV,Stock,United States,USD
Palantir / PLTR,PLTR,Stock,United States,USD
Coca-Cola / KO,KO,Stock,United States,USD
Philip Morris / PM,PM,Stock,United States,USD
Chevron / CVX,CVX,Stock,United States,USD
Cisco / CSCO,CSCO,Stock,United States,USD
Wells Fargo / WFC,WFC,Stock,United States,USD
Intel / INTC,INTC,Stock,United States,USD
Caterpillar / CAT,CAT,Stock,United States,USD
Lam Research / LRCX,LRCX,Stock,United States,USD
AMD / AMD,AMD,Stock,United States,USD
Salesforce / CRM,CRM,Stock,United States,USD
Adobe / ADBE,ADBE,Stock,United States,USD
McDonald's / MCD,MCD,Stock,United States,USD
Merck / MRK,MRK,Stock,United States,USD
PepsiCo / PEP,PEP,Stock,United States,USD
Thermo Fisher / TMO,TMO,Stock,United States,USD
Abbott Laboratories / ABT,ABT,Stock,United States,USD
Qualcomm / QCOM,QCOM,Stock,United States,USD
Texas Instruments / TXN,TXN,Stock,United States,USD
Applied Materials / AMAT,AMAT,Stock,United States,USD
Intuit / INTU,INTU,Stock,United States,USD
ServiceNow / NOW,NOW,Stock,United States,USD
Goldman Sachs / GS,GS,Stock,United States,USD
Morgan Stanley / MS,MS,Stock,United States,USD
American Express / AXP,AXP,Stock,United States,USD
BlackRock / BLK,BLK,Stock,United States,USD
S&P Global / SPGI,SPGI,Stock,United States,USD
Booking Holdings / BKNG,BKNG,Stock,United States,USD
Uber / UBER,UBER,Stock,United States,USD
RTX / RTX,RTX,Stock,United States,USD
Lockheed Martin / LMT,LMT,Stock,United States,USD
Boeing / BA,BA,Stock,United States,USD
Honeywell / HON,HON,Stock,United States,USD
Union Pacific / UNP,UNP,Stock,United States,USD
Deere / DE,DE,Stock,United States,USD
General Electric / GE,GE,Stock,United States,USD
NextEra Energy / NEE,NEE,Stock,United States,USD
ConocoPhillips / COP,COP,Stock,United States,USD
Eaton / ETN,ETN,Stock,United States,USD
Lowe's / LOW,LOW,Stock,United States,USD
TJX Companies / TJX,TJX,Stock,United States,USD
Nike / NKE,NKE,Stock,United States,USD
Starbucks / SBUX,SBUX,Stock,United States,USD
Mondelez / MDLZ,MDLZ,Stock,United States,USD
Colgate-Palmolive / CL,CL,Stock,United States,USD
Prologis / PLD,PLD,Stock,United States,USD
American Tower / AMT,AMT,Stock,United States,USD
Equinix / EQIX,EQIX,Stock,United States,USD
CME Group / CME,CME,Stock,United States,USD
Charles Schwab / SCHW,SCHW,Stock,United States,USD
Blackstone / BX,BX,Stock,United States,USD
Citigroup / C,C,Stock,United States,USD
Progressive / PGR,PGR,Stock,United States,USD
Marsh & McLennan / MMC,MMC,Stock,United States,USD
Chubb / CB,CB,Stock,United States,USD
Elevance Health / ELV,ELV,Stock,United States,USD
Cigna / CI,CI,Stock,United States,USD
Amgen / AMGN,AMGN,Stock,United States,USD
Gilead Sciences / GILD,GILD,Stock,United States,USD
Bristol Myers Squibb / BMY,BMY,Stock,United States,USD
Pfizer / PFE,PFE,Stock,United States,USD
Danaher / DHR,DHR,Stock,United States,USD
Vertex / VRTX,VRTX,Stock,United States,USD
Regeneron / REGN,REGN,Stock,United States,USD
Stryker / SYK,SYK,Stock,United States,USD
Medtronic / MDT,MDT,Stock,United States,USD
Boston Scientific / BSX,BSX,Stock,United States,USD
Intuitive Surgical / ISRG,ISRG,Stock,United States,USD
Micron / MU,MU,Stock,United States,USD
KLA / KLAC,KLAC,Stock,United States,USD
Palo Alto Networks / PANW,PANW,Stock,United States,USD
Arista Networks / ANET,ANET,Stock,United States,USD
Synopsys / SNPS,SNPS,Stock,United States,USD
Cadence / CDNS,CDNS,Stock,United States,USD
Automatic Data Processing / ADP,ADP,Stock,United States,USD
ProShares UltraPro QQQ (3x) / TQQQ,TQQQ,ETF,United States,USD
ProShares Ultra QQQ (2x) / QLD,QLD,ETF,United States,USD
Direxion Daily Semiconductor Bull 3X / SOXL,SOXL,ETF,United States,USD
VanEck Semiconductor ETF / SMH,SMH,ETF,United States,USD
iShares Semiconductor ETF / SOXX,SOXX,ETF,United States,USD
ProShares S&P 500 Dividend Aristocrats / NOBL,NOBL,ETF,United States,USD
iShares Core Dividend Growth / DGRO,DGRO,ETF,United States,USD
iShares Core High Dividend / HDV,HDV,ETF,United States,USD
iShares Select Dividend / DVY,DVY,ETF,United States,USD
SPDR Portfolio S&P 500 High Dividend / SPYD,SPYD,ETF,United States,USD
WisdomTree US Quality Dividend Growth / DGRW,DGRW,ETF,United States,USD
YieldMax TSLA Option Income / TSLY,TSLY,Covered Call ETF,United States,USD
YieldMax NVDA Option Income / NVDY,NVDY,Covered Call ETF,United States,USD
YieldMax COIN Option Income / CONY,CONY,Covered Call ETF,United States,USD
YieldMax MSTR Option Income / MSTY,MSTY,Covered Call ETF,United States,USD
Super Micro Computer / SMCI,SMCI,Stock,United States,USD
Arm Holdings / ARM,ARM,Stock,United States,USD
Dell Technologies / DELL,DELL,Stock,United States,USD
