label,ticker,category,country,currency
Vanguard FTSE Europe ETF / VGK,VGK,ETF,European Union,EUR
iShares Core MSCI Europe ETF / IEUR,IEUR,ETF,European Union,EUR
Euro STOXX 50 ETF / FEZ,FEZ,ETF,European Union,EUR
SAP / SAP,SAP,Stock,European Union,EUR
ASML / ASML,ASML,Stock,European Union,EUR
Siemens / SIE.DE,SIE.DE,Stock,European Union,EUR
Allianz / ALV.DE,ALV.DE,Stock,European Union,EUR
Nestle / NESN.SW,NESN.SW,Stock,European Union,EUR
Novo Nordisk / NOVO-B.CO,NOVO-B.CO,Stock,European Union,EUR
LVMH / MC.PA,MC.PA,Stock,European Union,EUR
Roche / ROG.SW,ROG.SW,Stock,European Union,EUR
AstraZeneca / AZN.L,AZN.L,Stock,European Union,EUR
Shell / SHEL.L,SHEL.L,Stock,European Union,EUR
Novartis / NOVN.SW,NOVN.SW,Stock,European Union,EUR
HSBC / HSBA.L,HSBA.L,Stock,European Union,EUR
Hermes / RMS.PA,RMS.PA,Stock,European Union,EUR
Unilever / ULVR.L,ULVR.L,Stock,European Union,EUR
L'Oreal / OR.PA,OR.PA,Stock,European Union,EUR
TotalEnergies / TTE.PA,TTE.PA,Stock,European Union,EUR
Sanofi / SAN.PA,SAN.PA,Stock,European Union,EUR
Airbus / AIR.PA,AIR.PA,Stock,European Union,EUR
Schneider Electric / SU.PA,SU.PA,Stock,European Union,EUR
Deutsche Telekom / DTE.DE,DTE.DE,Stock,European Union,EUR
Mercedes-Benz Group / MBG.DE,MBG.DE,Stock,European Union,EUR
BMW / BMW.DE,BMW.DE,Stock,European Union,EUR
Volkswagen Pref / VOW3.DE,VOW3.DE,Stock,European Union,EUR
Prosus / PRX.AS,PRX.AS,Stock,European Union,EUR
Adyen / ADYEN.AS,ADYEN.AS,Stock,European Union,EUR
Diageo / DGE.L,DGE.L,Stock,European Union,EUR
BP / BP.L,BP.L,Stock,European Union,EUR
Glencore / GLEN.L,GLEN.L,Stock,European Union,EUR
RELX / REL.L,REL.L,Stock,European Union,EUR
British American Tobacco / BATS.L,BATS.L,Stock,European Union,EUR
Rio Tinto / RIO.L,RIO.L,Stock,European Union,EUR
Inditex / ITX.MC,ITX.MC,Stock,European Union,EUR
UBS Group / UBSG.SW,UBSG.SW,Stock,European Union,EUR
Rolls-Royce Holdings / RR.L,RR.L,Stock,European Union,EUR
ABB / ABBN.SW,ABBN.SW,Stock,European Union,EUR
Compagnie Financiere Richemont / CFR.SW,CFR.SW,Stock,European Union,EUR
Investor AB / INVE-B.ST,INVE-B.ST,Stock,European Union,EUR
EssilorLuxottica / EL.PA,EL.PA,Stock,European Union,EUR
Safran / SAF.PA,SAF.PA,Stock,European Union,EUR
Iberdrola / IBE.MC,IBE.MC,Stock,European Union,EUR
Anheuser-Busch InBev / ABI.BR,ABI.BR,Stock,European Union,EUR
Banco Santander / SAN.MC,SAN.MC,Stock,European Union,EUR
Zurich Insurance Group / ZURN.SW,ZURN.SW,Stock,European Union,EUR
Air Liquide / AI.PA,AI.PA,Stock,European Union,EUR
BNP Paribas / BNP.PA,BNP.PA,Stock,European Union,EUR
Atlas Copco / ATCO-A.ST,ATCO-A.ST,Stock,European Union,EUR
Ferrari / RACE.MI,RACE.MI,Stock,European Union,EUR
AXA / CS.PA,CS.PA,Stock,European Union,EUR
Enel / ENEL.MI,ENEL.MI,Stock,European Union,EUR
UniCredit / UCG.MI,UCG.MI,Stock,European Union,EUR
Intesa Sanpaolo / ISP.MI,ISP.MI,Stock,European Union,EUR
Banco Bilbao Vizcaya Argentaria / BBVA.MC,BBVA.MC,Stock,European Union,EUR
Rheinmetall / RHM.DE,RHM.DE,Stock,European Union,EUR
GSK / GSK.L,GSK.L,Stock,European Union,EUR
Munich Re / MUV2.DE,MUV2.DE,Stock,European Union,EUR
Equinor / EQNR.OL,EQNR.OL,Stock,European Union,EUR
Vinci / DG.PA,DG.PA,Stock,European Union,EUR
Merck KGaA / MRK.DE,MRK.DE,Stock,European Union,EUR
Thales / HO.PA,HO.PA,Stock,European Union,EUR
London Stock Exchange Group / LSEG.L,LSEG.L,Stock,European Union,EUR
Siemens Healthineers / SHL.DE,SHL.DE,Stock,European Union,EUR
ING Group / INGA.AS,INGA.AS,Stock,European Union,EUR
BAE Systems / BA.L,BA.L,Stock,European Union,EUR
Barclays / BARC.L,BARC.L,Stock,European Union,EUR
National Grid / NG.L,NG.L,Stock,European Union,EUR
Lloyds Banking Group / LLOY.L,LLOY.L,Stock,European Union,EUR
Compass Group / CPG.L,CPG.L,Stock,European Union,EUR
DHL Group / DHL.DE,DHL.DE,Stock,European Union,EUR
Deutsche Bank / DBK.DE,DBK.DE,Stock,European Union,EUR
Generali / G.MI,G.MI,Stock,European Union,EUR
Eni / ENI.MI,ENI.MI,Stock,European Union,EUR
Danone / BN.PA,BN.PA,Stock,European Union,EUR
Credit Agricole / ACA.PA,ACA.PA,Stock,European Union,EUR
Compagnie de Saint-Gobain / SGO.PA,SGO.PA,Stock,European Union,EUR
CaixaBank / CABK.MC,CABK.MC,Stock,European Union,EUR
Volvo Group / VOLV-B.ST,VOLV-B.ST,Stock,European Union,EUR
DSV / DSV.CO,DSV.CO,Stock,European Union,EUR
Holcim / HOLN.SW,HOLN.SW,Stock,European Union,EUR
Wolters Kluwer / WKL.AS,WKL.AS,Stock,European Union,EUR
NatWest Group / NWG.L,NWG.L,Stock,European Union,EUR
Universal Music Group / UMG.AS,UMG.AS,Stock,European Union,EUR
Lonza / LONN.SW,LONN.SW,Stock,European Union,EUR
Swiss Re / SREN.SW,SREN.SW,Stock,European Union,EUR
ASM International / ASM.AS,ASM.AS,Stock,European Union,EUR
Deutsche Boerse / DB1.DE,DB1.DE,Stock,European Union,EUR
Nordea Bank / NDA-FI.HE,NDA-FI.HE,Stock,European Union,EUR
Engie / ENGI.PA,ENGI.PA,Stock,European Union,EUR
BASF / BAS.DE,BAS.DE,Stock,European Union,EUR
Adidas / ADS.DE,ADS.DE,Stock,European Union,EUR
Alcon / ALC.SW,ALC.SW,Stock,European Union,EUR
Heineken / HEIA.AS,HEIA.AS,Stock,European Union,EUR
E.ON / EOAN.DE,EOAN.DE,Stock,European Union,EUR
Dassault Systemes / DSY.PA,DSY.PA,Stock,European Union,EUR
Christian Dior / CDI.PA,CDI.PA,Stock,European Union,EUR
Argenx / ARGX.BR,ARGX.BR,Stock,European Union,EUR
Reckitt Benckiser / RKT.L,RKT.L,Stock,European Union,EUR
Haleon / HLN.L,HLN.L,Stock,European Union,EUR
3i Group / III.L,III.L,Stock,European Union,EUR
Societe Generale / GLE.PA,GLE.PA,Stock,European Union,EUR
Anglo American / AAL.L,AAL.L,Stock,European Union,EUR
Bayer / BAYN.DE,BAYN.DE,Stock,European Union,EUR
KBC Group / KBC.BR,KBC.BR,Stock,European Union,EUR
UCB / UCB.BR,UCB.BR,Stock,European Union,EUR
Skandinaviska Enskilda Banken / SEB-A.ST,SEB-A.ST,Stock,European Union,EUR
DNB Bank / DNB.OL,DNB.OL,Stock,European Union,EUR
Kongsberg Gruppen / KOG.OL,KOG.OL,Stock,European Union,EUR
Porsche AG / P911.DE,P911.DE,Stock,European Union,EUR
Sika / SIKA.SW,SIKA.SW,Stock,European Union,EUR
Givaudan / GIVN.SW,GIVN.SW,Stock,European Union,EUR
Ahold Delhaize / AD.AS,AD.AS,Stock,European Union,EUR
Hannover Re / HNR1.DE,HNR1.DE,Stock,European Union,EUR
Ryanair / RYA.IR,RYA.IR,Stock,European Union,EUR
Kering / KER.PA,KER.PA,Stock,European Union,EUR
Prysmian / PRY.MI,PRY.MI,Stock,European Union,EUR
Amadeus IT Group / AMS.MC,AMS.MC,Stock,European Union,EUR
Aena / AENA.MC,AENA.MC,Stock,European Union,EUR
Ferrovial / FER.MC,FER.MC,Stock,European Union,EUR
EQT / EQT.ST,EQT.ST,Stock,European Union,EUR
Ericsson / ERIC-B.ST,ERIC-B.ST,Stock,European Union,EUR
Epiroc / EPI-A.ST,EPI-A.ST,Stock,European Union,EUR
Assa Abloy / ASSA-B.ST,ASSA-B.ST,Stock,European Union,EUR
Standard Chartered / STAN.L,STAN.L,Stock,European Union,EUR
Heidelberg Materials / HEI.DE,HEI.DE,Stock,European Union,EUR
Henkel / HEN3.DE,HEN3.DE,Stock,European Union,EUR
Commerzbank / CBK.DE,CBK.DE,Stock,European Union,EUR
Capgemini / CAP.PA,CAP.PA,Stock,European Union,EUR
Tesco / TSCO.L,TSCO.L,Stock,European Union,EUR
Prudential / PRU.L,PRU.L,Stock,European Union,EUR
Telefonica / TEF.MC,TEF.MC,Stock,European Union,EUR
Schindler Group / SCHN.SW,SCHN.SW,Stock,European Union,EUR
Kuehne + Nagel / KNIN.SW,KNIN.SW,Stock,European Union,EUR
Vonovia / VNA.DE,VNA.DE,Stock,European Union,EUR
Philips / PHIA.AS,PHIA.AS,Stock,European Union,EUR
Leonardo / LDO.MI,LDO.MI,Stock,European Union,EUR
Daimler Truck / DTG.DE,DTG.DE,Stock,European Union,EUR
Swisscom / SCMN.SW,SCMN.SW,Stock,European Union,EUR
Lindt & Spruengli / LISN.SW,LISN.SW,Stock,European Union,EUR
Partners Group / PGHN.SW,PGHN.SW,Stock,European Union,EUR
Carlsberg / CARL-B.CO,CARL-B.CO,Stock,European Union,EUR
Novonesis / NSIS-B.CO,NSIS-B.CO,Stock,European Union,EUR
Endesa / ELE.MC,ELE.MC,Stock,European Union,EUR
Beiersdorf / BEI.DE,BEI.DE,Stock,European Union,EUR
RWE / RWE.DE,RWE.DE,Stock,European Union,EUR
Exor / EXO.AS,EXO.AS,Stock,European Union,EUR
Stellantis / STLAM.MI,STLAM.MI,Stock,European Union,EUR
Vodafone Group / VOD.L,VOD.L,Stock,European Union,EUR
Imperial Brands / IMB.L,IMB.L,Stock,European Union,EUR
Danske Bank / DANSKE.CO,DANSKE.CO,Stock,European Union,EUR
Kone / KNEBV.HE,KNEBV.HE,Stock,European Union,EUR
Sandvik / SAND.ST,SAND.ST,Stock,European Union,EUR
Swedbank / SWED-A.ST,SWED-A.ST,Stock,European Union,EUR
Fresenius / FRE.DE,FRE.DE,Stock,European Union,EUR
Galderma Group / GALD.SW,GALD.SW,Stock,European Union,EUR
DSM-Firmenich / DSFIR.AS,DSFIR.AS,Stock,European Union,EUR
Hexagon / HEXA-B.ST,HEXA-B.ST,Stock,European Union,EUR
Nokia / NOKIA.HE,NOKIA.HE,Stock,European Union,EUR
Sampo / SAMPO.HE,SAMPO.HE,Stock,European Union,EUR
Cellnex Telecom / CLNX.MC,CLNX.MC,Stock,European Union,EUR
Telenor / TEL.OL,TEL.OL,Stock,European Union,EUR
Michelin / ML.PA,ML.PA,Stock,European Union,EUR
Verbund / VER.VI,VER.VI,Stock,European Union,EUR
