label,ticker,category,country,currency
Vanguard Total World ETF / VT,VT,ETF,Global,USD
iShares MSCI ACWI ETF / ACWI,ACWI,ETF,Global,USD
MSCI World ETF / URTH,URTH,ETF,Global,USD
Total International Stock / VXUS,VXUS,ETF,Global,USD
Emerging Markets ETF / VWO,VWO,ETF,Global,USD
TSMC / TSM,TSM,Stock,Global,USD
Tencent / 0700.HK,0700.HK,Stock,Global,HKD
Alibaba / 9988.HK,9988.HK,Stock,Global,HKD
Toyota / 7203.T,7203.T,Stock,Global,JPY
ASML / ASML,ASML,Stock,Global,EUR
SAP / SAP,SAP,Stock,Global,EUR
Nestle / NESN.SW,NESN.SW,Stock,Global,CHF
Novo Nordisk / NOVO-B.CO,NOVO-B.CO,Stock,Global,DKK
LVMH / MC.PA,MC.PA,Stock,Global,EUR
Roche / ROG.SW,ROG.SW,Stock,Global,CHF
AstraZeneca / AZN.L,AZN.L,Stock,Global,GBP
Shell / SHEL.L,SHEL.L,Stock,Global,GBP
Novartis / NOVN.SW,NOVN.SW,Stock,Global,CHF
HSBC / HSBA.L,HSBA.L,Stock,Global,GBP
Hermes / RMS.PA,RMS.PA,Stock,Global,EUR
Siemens / SIE.DE,SIE.DE,Stock,Global,EUR
Unilever / ULVR.L,ULVR.L,Stock,Global,GBP
L'Oreal / OR.PA,OR.PA,Stock,Global,EUR
TotalEnergies / TTE.PA,TTE.PA,Stock,Global,EUR
Sanofi / SAN.PA,SAN.PA,Stock,Global,EUR
Sony / 6758.T,6758.T,Stock,Global,JPY
Mitsubishi UFJ / 8306.T,8306.T,Stock,Global,JPY
Commonwealth Bank / CBA.AX,CBA.AX,Stock,Global,AUD
BHP / BHP.AX,BHP.AX,Stock,Global,AUD
Rio Tinto / RIO.L,RIO.L,Stock,Global,GBP
Royal Bank of Canada / RY.TO,RY.TO,Stock,Global,CAD
Toronto-Dominion Bank / TD.TO,TD.TO,Stock,Global,CAD
Shopify / SHOP.TO,SHOP.TO,Stock,Global,CAD
Canadian Natural Resources / CNQ.TO,CNQ.TO,Stock,Global,CAD
Airbus / AIR.PA,AIR.PA,Stock,Global,EUR
Schneider Electric / SU.PA,SU.PA,Stock,Global,EUR
Allianz / ALV.DE,ALV.DE,Stock,Global,EUR
Deutsche Telekom / DTE.DE,DTE.DE,Stock,Global,EUR
Mercedes-Benz Group / MBG.DE,MBG.DE,Stock,Global,EUR
BMW / BMW.DE,BMW.DE,Stock,Global,EUR
Volkswagen Pref / VOW3.DE,VOW3.DE,Stock,Global,EUR
Prosus / PRX.AS,PRX.AS,Stock,Global,EUR
Adyen / ADYEN.AS,ADYEN.AS,Stock,Global,EUR
Diageo / DGE.L,DGE.L,Stock,Global,GBP
BP / BP.L,BP.L,Stock,Global,GBP
Glencore / GLEN.L,GLEN.L,Stock,Global,GBP
RELX / REL.L,REL.L,Stock,Global,GBP
British American Tobacco / BATS.L,BATS.L,Stock,Global,GBP
Keyence / 6861.T,6861.T,Stock,Global,JPY
Hitachi / 6501.T,6501.T,Stock,Global,JPY
Nintendo / 7974.T,7974.T,Stock,Global,JPY
SoftBank Group / 9984.T,9984.T,Stock,Global,JPY
Mitsubishi Corp / 8058.T,8058.T,Stock,Global,JPY
Fast Retailing / 9983.T,9983.T,Stock,Global,JPY
AIA Group / 1299.HK,1299.HK,Stock,Global,HKD
