Date,Cash
2000-01-31,1000.00
2000-02-29,2002.47
2000-03-31,1000.00
2000-04-28,2002.47
2000-05-31,3007.40
2000-06-30,4014.82
2000-07-31,5024.72
2000-08-31,6037.12
2000-09-29,7052.01
2000-10-31,8069.40
2000-11-30,9089.30
2000-12-29,10111.72
2001-01-31,11136.65
2001-02-28,12164.12
2001-03-30,13194.12
2001-04-30,1000.00
2001-05-31,2002.47
2001-06-29,3007.40
2001-07-31,4014.82
2001-08-31,5024.72
2001-09-28,6037.12
2001-10-31,7052.01
2001-11-30,8069.40
2001-12-31,9089.30
2002-01-31,10111.72
2002-02-28,11136.65
2002-03-28,12164.12
2002-04-30,13194.12
2002-05-31,14226.66
2002-06-28,15261.75
2002-07-31,16299.39
2002-08-30,17339.58
2002-09-30,18382.35
2002-10-31,19427.68
2002-11-29,20475.60
2002-12-31,21526.10
2003-01-31,1000.00
2003-02-28,2002.47
2003-03-31,3007.40
2003-04-30,4014.82
2003-05-30,5024.72
2003-06-30,6037.12
2003-07-31,7052.01
2003-08-29,8069.40
2003-09-30,9089.30
2003-10-31,10111.72
2003-11-28,11136.65
2003-12-31,12164.12
2004-01-30,13194.12
2004-02-27,14226.66
2004-03-31,15261.75
2004-04-30,16299.39
2004-05-28,17339.58
2004-06-30,18382.35
2004-07-30,19427.68
2004-08-31,20475.60
2004-09-30,21526.10
2004-10-29,22579.19
2004-11-30,23634.87
2004-12-31,24693.16
2005-01-31,25754.06
2005-02-28,26817.58
2005-03-31,27883.72
2005-04-29,28952.49
2005-05-31,30023.89
2005-06-30,31097.94
2005-07-29,32174.63
2005-08-31,33253.99
2005-09-30,34336.00
2005-10-31,35420.68
2005-11-30,36508.04
2005-12-30,37598.08
2006-01-31,38690.80
2006-02-28,39786.23
2006-03-31,40884.35
2006-04-28,41985.18
2006-05-31,43088.73
2006-06-30,44195.00
2006-07-31,45303.99
2006-08-31,46415.72
2006-09-29,47530.20
2006-10-31,48647.42
2006-11-30,49767.40
2006-12-29,50890.14
2007-01-31,52015.65
2007-02-28,53143.93
2007-03-30,54275.00
2007-04-30,55408.86
2007-05-31,56545.51
2007-06-29,57684.97
2007-07-31,58827.23
2007-08-31,59972.32
2007-09-28,61120.22
2007-10-31,62270.96
2007-11-30,63424.54
2007-12-31,64580.96
2008-01-31,65740.24
2008-02-29,66902.37
2008-03-31,68067.37
2008-04-30,69235.24
2008-05-30,70405.99
2008-06-30,71579.63
2008-07-31,72756.17
2008-08-29,73935.60
2008-09-30,75117.95
2008-10-31,1000.00
2008-11-28,2002.47
2008-12-31,3007.40
2009-01-30,4014.82
2009-02-27,5024.72
2009-03-31,6037.12
2009-04-30,7052.01
2009-05-29,8069.40
2009-06-30,9089.30
2009-07-31,10111.72
2009-08-31,11136.65
2009-09-30,12164.12
2009-10-30,13194.12
2009-11-30,14226.66
2009-12-31,15261.75
2010-01-29,16299.39
2010-02-26,17339.58
2010-03-31,18382.35
2010-04-30,19427.68
2010-05-28,20475.60
2010-06-30,21526.10
2010-07-30,22579.19
2010-08-31,23634.87
2010-09-30,24693.16
2010-10-29,25754.06
2010-11-30,26817.58
2010-12-31,27883.72
2011-01-31,28952.49
2011-02-28,30023.89
2011-03-31,31097.94
2011-04-29,32174.63
2011-05-31,33253.99
2011-06-30,34336.00
2011-07-29,35420.68
2011-08-31,36508.04
2011-09-30,37598.08
2011-10-31,38690.80
2011-11-30,39786.23
2011-12-30,40884.35
2012-01-31,41985.18
2012-02-29,43088.73
2012-03-30,44195.00
2012-04-30,45303.99
2012-05-31,46415.72
2012-06-29,47530.20
2012-07-31,48647.42
2012-08-31,49767.40
2012-09-28,50890.14
2012-10-31,52015.65
2012-11-30,53143.93
2012-12-31,54275.00
2013-01-31,55408.86
2013-02-28,56545.51
2013-03-28,57684.97
2013-04-30,58827.23
2013-05-31,59972.32
2013-06-28,61120.22
2013-07-31,62270.96
2013-08-30,63424.54
2013-09-30,64580.96
2013-10-31,65740.24
2013-11-29,66902.37
2013-12-31,68067.37
2014-01-31,69235.24
2014-02-28,70405.99
2014-03-31,71579.63
2014-04-30,72756.17
2014-05-30,73935.60
2014-06-30,75117.95
2014-07-31,76303.21
2014-08-29,77491.40
2014-09-30,78682.51
2014-10-31,79876.56
2014-11-28,81073.56
2014-12-31,82273.51
2015-01-30,83476.42
2015-02-27,84682.29
2015-03-31,85891.14
2015-04-30,87102.97
2015-05-29,88317.79
2015-06-30,89535.61
2015-07-31,90756.43
2015-08-31,91980.26
2015-09-30,93207.10
2015-10-30,94436.98
2015-11-30,95669.89
2015-12-31,96905.83
2016-01-29,98144.83
2016-02-29,99386.88
2016-03-31,100632.00
2016-04-29,101880.18
2016-05-31,103131.45
2016-06-30,104385.80
2016-07-29,105643.24
2016-08-31,106903.78
2016-09-30,108167.44
2016-10-31,109434.21
2016-11-30,110704.10
2016-12-30,111977.13
2017-01-31,113253.29
2017-02-28,114532.61
2017-03-31,115815.08
2017-04-28,117100.71
2017-05-31,118389.51
2017-06-30,119681.49
2017-07-31,120976.66
2017-08-31,122275.02
2017-09-29,123576.58
2017-10-31,124881.35
2017-11-30,126189.34
2017-12-29,127500.56
2018-01-31,128815.01
2018-02-28,130132.70
2018-03-29,131453.65
2018-04-30,132777.85
2018-05-31,134105.31
2018-06-29,135436.05
2018-07-31,136770.07
2018-08-31,138107.39
2018-09-28,139448.00
2018-10-31,140791.91
2018-11-30,142139.14
2018-12-31,143489.70
2019-01-31,144843.58
2019-02-28,146200.81
2019-03-29,147561.38
2019-04-30,148925.30
2019-05-31,150292.59
2019-06-28,151663.25
2019-07-31,153037.30
2019-08-30,154414.73
2019-09-30,155795.56
2019-10-31,157179.79
2019-11-29,158567.44
2019-12-31,159958.51
2020-01-31,161353.01
2020-02-28,162750.95
2020-03-31,1000.00
2020-04-30,2002.47
2020-05-29,3007.40
2020-06-30,4014.82
2020-07-31,5024.72
2020-08-31,6037.12
2020-09-30,7052.01
2020-10-30,8069.40
2020-11-30,9089.30
2020-12-31,10111.72
2021-01-29,11136.65
2021-02-26,12164.12
2021-03-31,13194.12
2021-04-30,14226.66
2021-05-28,15261.75
2021-06-30,16299.39
2021-07-30,17339.58
2021-08-31,18382.35
2021-09-30,19427.68
2021-10-29,20475.60
2021-11-30,21526.10
2021-12-31,22579.19
2022-01-31,23634.87
2022-02-28,24693.16
2022-03-31,25754.06
2022-04-29,26817.58
2022-05-31,27883.72
2022-06-30,28952.49
2022-07-29,30023.89
2022-08-31,31097.94
2022-09-30,32174.63
2022-10-31,33253.99
2022-11-30,34336.00
2022-12-30,35420.68
2023-01-31,36508.04
2023-02-28,37598.08
2023-03-31,38690.80
2023-04-28,39786.23
2023-05-31,40884.35
