ticker,asset_size,kind,source_currency
VGK,37858430976.0,aum,USD
IEUR,8644286464.0,aum,USD
FEZ,4349350400.0,aum,USD
SAP,188629172224.0,marketcap,USD
ASML,674898247680.0,marketcap,USD
SIE.DE,207656878080.0,marketcap,EUR
ALV.DE,161993162752.0,marketcap,EUR
NESN.SW,207500967936.0,marketcap,CHF
NOVO-B.CO,1417967566848.0,marketcap,DKK
MC.PA,227663921152.0,marketcap,EUR
AZN.L,196496113664.0,marketcap,GBp
SHEL.L,182917857280.0,marketcap,GBp
NOVN.SW,241200726016.0,marketcap,CHF
HSBA.L,266277404672.0,marketcap,GBp
RMS.PA,172087508992.0,marketcap,EUR
ULVR.L,98519638016.0,marketcap,GBp
OR.PA,199489994752.0,marketcap,EUR
TTE.PA,168519909376.0,marketcap,EUR
SAN.PA,90999128064.0,marketcap,EUR
AIR.PA,162208350208.0,marketcap,EUR
SU.PA,151098245120.0,marketcap,EUR
DTE.DE,127675416576.0,marketcap,EUR
MBG.DE,42864459776.0,marketcap,EUR
BMW.DE,34161709056.0,marketcap,EUR
VOW3.DE,35822559232.0,marketcap,EUR
PRX.AS,78316339200.0,marketcap,EUR
ADYEN.AS,25260890112.0,marketcap,EUR
DGE.L,34743513088.0,marketcap,GBp
BP.L,84732092416.0,marketcap,GBp
GLEN.L,62960947200.0,marketcap,GBp
REL.L,44856176640.0,marketcap,GBp
BATS.L,98643730432.0,marketcap,GBp
RIO.L,111707267072.0,marketcap,GBp
ITX.MC,169553952768.0,marketcap,EUR
UBSG.SW,138683940864.0,marketcap,CHF
RR.L,117022023680.0,marketcap,GBp
ABBN.SW,145181310976.0,marketcap,CHF
CFR.SW,113501872128.0,marketcap,CHF
INVE-B.ST,1236134395904.0,marketcap,SEK
EL.PA,75143225344.0,marketcap,EUR
SAF.PA,136673787904.0,marketcap,EUR
IBE.MC,141537329152.0,marketcap,EUR
ABI.BR,138378149888.0,marketcap,EUR
SAN.MC,171243126784.0,marketcap,EUR
ZURN.SW,93057048576.0,marketcap,CHF
AI.PA,112243589120.0,marketcap,EUR
BNP.PA,116088315904.0,marketcap,EUR
ATCO-A.ST,994750693376.0,marketcap,SEK
RACE.MI,55941775360.0,marketcap,EUR
CS.PA,91201544192.0,marketcap,EUR
ENEL.MI,98508234752.0,marketcap,EUR
UCG.MI,120506449920.0,marketcap,EUR
ISP.MI,113042874368.0,marketcap,EUR
BBVA.MC,126429192192.0,marketcap,EUR
RHM.DE,48291995648.0,marketcap,EUR
GSK.L,76887400448.0,marketcap,GBp
MUV2.DE,65132601344.0,marketcap,EUR
EQNR.OL,932773625856.0,marketcap,NOK
DG.PA,65483747328.0,marketcap,EUR
MRK.DE,60499341312.0,marketcap,EUR
HO.PA,48577232896.0,marketcap,EUR
LSEG.L,42721480704.0,marketcap,GBp
SHL.DE,39239118848.0,marketcap,EUR
INGA.AS,82723012608.0,marketcap,EUR
BA.L,57771651072.0,marketcap,GBp
BARC.L,70859186176.0,marketcap,GBp
NG.L,62206558208.0,marketcap,GBp
LLOY.L,65891950592.0,marketcap,GBp
CPG.L,51502489600.0,marketcap,USD
DHL.DE,63841636352.0,marketcap,EUR
DBK.DE,58523676672.0,marketcap,EUR
G.MI,64177459200.0,marketcap,EUR
ENI.MI,66629980160.0,marketcap,EUR
BN.PA,44948094976.0,marketcap,EUR
ACA.PA,55986597888.0,marketcap,EUR
SGO.PA,36330053632.0,marketcap,EUR
CABK.MC,92513574912.0,marketcap,EUR
VOLV-B.ST,721468784640.0,marketcap,SEK
DSV.CO,345862569984.0,marketcap,DKK
HOLN.SW,40942317568.0,marketcap,CHF
WKL.AS,13917946880.0,marketcap,EUR
NWG.L,53764878336.0,marketcap,GBp
UMG.AS,33891719168.0,marketcap,EUR
LONN.SW,38274637824.0,marketcap,CHF
SREN.SW,39666683904.0,marketcap,CHF
ASM.AS,42012692480.0,marketcap,EUR
DB1.DE,46532247552.0,marketcap,EUR
NDA-FI.HE,58627092480.0,marketcap,EUR
ENGI.PA,70612566016.0,marketcap,EUR
BAS.DE,42951675904.0,marketcap,EUR
ADS.DE,30787774464.0,marketcap,EUR
ALC.SW,27184398336.0,marketcap,CHF
HEIA.AS,42456989696.0,marketcap,EUR
EOAN.DE,51203260416.0,marketcap,EUR
DSY.PA,26122274816.0,marketcap,EUR
CDI.PA,76313673728.0,marketcap,EUR
ARGX.BR,50324062208.0,marketcap,EUR
RKT.L,31435220992.0,marketcap,GBp
HLN.L,32015616000.0,marketcap,GBp
III.L,27667136512.0,marketcap,GBp
GLE.PA,56838901760.0,marketcap,EUR
AAL.L,39870066688.0,marketcap,GBp
BAYN.DE,45250453504.0,marketcap,EUR
KBC.BR,48553869312.0,marketcap,EUR
UCB.BR,46828896256.0,marketcap,EUR
SEB-A.ST,426019651584.0,marketcap,SEK
DNB.OL,427611455488.0,marketcap,NOK
KOG.OL,254910742528.0,marketcap,NOK
P911.DE,39847141376.0,marketcap,EUR
SIKA.SW,25004457984.0,marketcap,CHF
GIVN.SW,29503289344.0,marketcap,CHF
AD.AS,29641408512.0,marketcap,EUR
HNR1.DE,30535194624.0,marketcap,EUR
RYA.IR,25256179712.0,marketcap,EUR
KER.PA,29710669824.0,marketcap,EUR
PRY.MI,37085847552.0,marketcap,EUR
AMS.MC,21318604800.0,marketcap,EUR
AENA.MC,40049999872.0,marketcap,EUR
FER.MC,39858159616.0,marketcap,EUR
EQT.ST,368530489344.0,marketcap,SEK
ERIC-B.ST,301297860608.0,marketcap,SEK
EPI-A.ST,299581014016.0,marketcap,SEK
ASSA-B.ST,386550169600.0,marketcap,SEK
STAN.L,46470578176.0,marketcap,GBp
HEI.DE,29682241536.0,marketcap,EUR
HEN3.DE,30234642432.0,marketcap,EUR
CBK.DE,40330133504.0,marketcap,EUR
CAP.PA,14926444544.0,marketcap,EUR
TSCO.L,29932959744.0,marketcap,GBp
PRU.L,27284461568.0,marketcap,GBp
TEF.MC,20285229056.0,marketcap,EUR
SCHN.SW,26343012352.0,marketcap,CHF
KNIN.SW,24298311680.0,marketcap,CHF
VNA.DE,17587855360.0,marketcap,EUR
PHIA.AS,22511118336.0,marketcap,EUR
LDO.MI,30148055040.0,marketcap,EUR
DTG.DE,35151859712.0,marketcap,EUR
SCMN.SW,32246710272.0,marketcap,CHF
LISN.SW,101450145792.0,marketcap,CHF
PGHN.SW,17455183872.0,marketcap,CHF
CARL-B.CO,119695024128.0,marketcap,DKK
