label,ticker,category,country,currency
Samsung Electronics / 005930.KS,005930.KS,Stock,Korea,KRW
SK Hynix / 000660.KS,000660.KS,Stock,Korea,KRW
LG Energy Solution / 373220.KS,373220.KS,Stock,Korea,KRW
Hyundai Motor / 005380.KS,005380.KS,Stock,Korea,KRW
Samsung Biologics / 207940.KS,207940.KS,Stock,Korea,KRW
Kia / 000270.KS,000270.KS,Stock,Korea,KRW
KB Financial Group / 105560.KS,105560.KS,Stock,Korea,KRW
Celltrion / 068270.KS,068270.KS,Stock,Korea,KRW
NAVER / 035420.KS,035420.KS,Stock,Korea,KRW
Shinhan Financial Group / 055550.KS,055550.KS,Stock,Korea,KRW
Hyundai Mobis / 012330.KS,012330.KS,Stock,Korea,KRW
Samsung C&T / 028260.KS,028260.KS,Stock,Korea,KRW
POSCO Holdings / 005490.KS,005490.KS,Stock,Korea,KRW
Samsung SDI / 006400.KS,006400.KS,Stock,Korea,KRW
LG Chem / 051910.KS,051910.KS,Stock,Korea,KRW
LG Electronics / 066570.KS,066570.KS,Stock,Korea,KRW
Kakao / 035720.KS,035720.KS,Stock,Korea,KRW
Hana Financial Group / 086790.KS,086790.KS,Stock,Korea,KRW
Samsung Fire & Marine / 000810.KS,000810.KS,Stock,Korea,KRW
KT&G / 033780.KS,033780.KS,Stock,Korea,KRW
Korea Electric Power / 015760.KS,015760.KS,Stock,Korea,KRW
HD Hyundai Heavy Industries / 329180.KS,329180.KS,Stock,Korea,KRW
Hanwha Aerospace / 012450.KS,012450.KS,Stock,Korea,KRW
Doosan Enerbility / 034020.KS,034020.KS,Stock,Korea,KRW
SK Square / 402340.KS,402340.KS,Stock,Korea,KRW
Samsung Electro-Mechanics / 009150.KS,009150.KS,Stock,Korea,KRW
LG Corp / 003550.KS,003550.KS,Stock,Korea,KRW
HMM / 011200.KS,011200.KS,Stock,Korea,KRW
Hyundai Glovis / 086280.KS,086280.KS,Stock,Korea,KRW
Amorepacific / 090430.KS,090430.KS,Stock,Korea,KRW
KODEX 200 / 069500.KS,069500.KS,ETF,Korea,KRW
TIGER 200 / 102110.KS,102110.KS,ETF,Korea,KRW
KODEX CD금리액티브 / 459580.KS,459580.KS,ETF,Korea,KRW
TIGER CD금리투자KIS / 357870.KS,357870.KS,ETF,Korea,KRW
KODEX KOFR금리액티브 / 423160.KS,423160.KS,ETF,Korea,KRW
TIGER KOFR금리액티브 / 449170.KS,449170.KS,ETF,Korea,KRW
KODEX 단기채권 / 153130.KS,153130.KS,ETF,Korea,KRW
TIGER 단기통안채 / 157450.KS,157450.KS,ETF,Korea,KRW
KODEX 종합채권(AA-이상)액티브 / 273130.KS,273130.KS,ETF,Korea,KRW
KODEX 국고채30년액티브 / 439870.KS,439870.KS,ETF,Korea,KRW
KODEX 미국S&P500TR / 379800.KS,379800.KS,ETF,Korea,KRW
TIGER 미국S&P500 / 360750.KS,360750.KS,ETF,Korea,KRW
ACE 미국S&P500 / 360200.KS,360200.KS,ETF,Korea,KRW
RISE 미국S&P500 / 379780.KS,379780.KS,ETF,Korea,KRW
SOL 미국S&P500 / 433330.KS,433330.KS,ETF,Korea,KRW
KODEX 미국나스닥100TR / 379810.KS,379810.KS,ETF,Korea,KRW
TIGER 미국나스닥100 / 133690.KS,133690.KS,ETF,Korea,KRW
ACE 미국나스닥100 / 367380.KS,367380.KS,ETF,Korea,KRW
RISE 미국나스닥100 / 368590.KS,368590.KS,ETF,Korea,KRW
TIGER 미국테크TOP10 INDXX / 381170.KS,381170.KS,ETF,Korea,KRW
TIGER 미국필라델피아반도체나스닥 / 381180.KS,381180.KS,ETF,Korea,KRW
KODEX 미국배당다우존스 / 489250.KS,489250.KS,ETF,Korea,KRW
TIGER 미국배당다우존스 / 458730.KS,458730.KS,ETF,Korea,KRW
SOL 미국배당다우존스 / 446720.KS,446720.KS,ETF,Korea,KRW
KODEX 2차전지산업 / 305720.KS,305720.KS,ETF,Korea,KRW
TIGER 2차전지테마 / 305540.KS,305540.KS,ETF,Korea,KRW
KODEX 반도체 / 091160.KS,091160.KS,ETF,Korea,KRW
TIGER 반도체 / 091230.KS,091230.KS,ETF,Korea,KRW
TIGER Fn반도체TOP10 / 396500.KS,396500.KS,ETF,Korea,KRW
KODEX 자동차 / 091180.KS,091180.KS,ETF,Korea,KRW
TIGER 차이나전기차SOLACTIVE / 371460.KS,371460.KS,ETF,Korea,KRW
KODEX 골드선물(H) / 132030.KS,132030.KS,ETF,Korea,KRW
KODEX 200타겟위클리커버드콜 / 498400.KS,498400.KS,Covered Call ETF,Korea,KRW
TIGER 200커버드콜 / 289480.KS,289480.KS,Covered Call ETF,Korea,KRW
TIGER 미국나스닥100커버드콜(합성) / 441680.KS,441680.KS,Covered Call ETF,Korea,KRW
KODEX 미국나스닥100커버드콜(합성) / 449190.KS,449190.KS,Covered Call ETF,Korea,KRW
TIGER 미국S&P500배당귀족커버드콜 / 429000.KS,429000.KS,Covered Call ETF,Korea,KRW
KODEX 미국S&P500배당귀족커버드콜 / 276970.KS,276970.KS,Covered Call ETF,Korea,KRW
TIGER 미국30년국채커버드콜액티브(H) / 476550.KS,476550.KS,Covered Call ETF,Korea,KRW
KODEX 미국30년국채타겟커버드콜(합성 H) / 487230.KS,487230.KS,Covered Call ETF,Korea,KRW
RISE 미국30년국채커버드콜 / 472830.KS,472830.KS,Covered Call ETF,Korea,KRW
Macquarie Korea Infrastructure Fund / 088980.KS,088980.KS,Stock,Korea,KRW
eCredible / 092130.KQ,092130.KQ,Stock,Korea,KRW
Samsung Life Insurance / 032830.KS,032830.KS,Stock,Korea,KRW
SK Inc. / 034730.KS,034730.KS,Stock,Korea,KRW
LS Electric / 010120.KS,010120.KS,Stock,Korea,KRW
HD Hyundai Electric / 267260.KS,267260.KS,Stock,Korea,KRW
Hanwha Ocean / 042660.KS,042660.KS,Stock,Korea,KRW
Hyosung Heavy Industries / 298040.KS,298040.KS,Stock,Korea,KRW
Doosan / 000150.KS,000150.KS,Stock,Korea,KRW
HD Korea Shipbuilding & Offshore Engineering / 009540.KS,009540.KS,Stock,Korea,KRW
Korea Zinc / 010130.KS,010130.KS,Stock,Korea,KRW
Woori Financial Group / 316140.KS,316140.KS,Stock,Korea,KRW
Hanmi Semiconductor / 042700.KS,042700.KS,Stock,Korea,KRW
Hyundai Rotem / 064350.KS,064350.KS,Stock,Korea,KRW
LG Innotek / 011070.KS,011070.KS,Stock,Korea,KRW
Samsung Heavy Industries / 010140.KS,010140.KS,Stock,Korea,KRW
SK Telecom / 017670.KS,017670.KS,Stock,Korea,KRW
Meritz Financial Group / 138040.KS,138040.KS,Stock,Korea,KRW
Alteogen / 196170.KQ,196170.KQ,Stock,Korea,KRW
LIG Nex1 / 079550.KS,079550.KS,Stock,Korea,KRW
Industrial Bank of Korea / 024110.KS,024110.KS,Stock,Korea,KRW
Korea Aerospace Industries / 047810.KS,047810.KS,Stock,Korea,KRW
Samsung SDS / 018260.KS,018260.KS,Stock,Korea,KRW
HD Hyundai / 267250.KS,267250.KS,Stock,Korea,KRW
POSCO Future M / 003670.KS,003670.KS,Stock,Korea,KRW
APR / 278470.KS,278470.KS,Stock,Korea,KRW
Korea Investment Holdings / 071050.KS,071050.KS,Stock,Korea,KRW
Hanwha Systems / 272210.KS,272210.KS,Stock,Korea,KRW
Hyundai AutoEver / 307950.KS,307950.KS,Stock,Korea,KRW
Hyundai Engineering & Construction / 000720.KS,000720.KS,Stock,Korea,KRW
KT Corporation / 030200.KS,030200.KS,Stock,Korea,KRW
S-Oil / 010950.KS,010950.KS,Stock,Korea,KRW
Ecopro BM / 247540.KQ,247540.KQ,Stock,Korea,KRW
Ecopro / 086520.KQ,086520.KQ,Stock,Korea,KRW
NH Investment & Securities / 005940.KS,005940.KS,Stock,Korea,KRW
Samsung Securities / 016360.KS,016360.KS,Stock,Korea,KRW
Krafton / 259960.KS,259960.KS,Stock,Korea,KRW
KakaoBank / 323410.KS,323410.KS,Stock,Korea,KRW
Rainbow Robotics / 277810.KQ,277810.KQ,Stock,Korea,KRW
LS Corp / 006260.KS,006260.KS,Stock,Korea,KRW
Jusung Engineering / 036930.KQ,036930.KQ,Stock,Korea,KRW
HD Hyundai Marine Solution / 443060.KS,443060.KS,Stock,Korea,KRW
SK Innovation / 096770.KS,096770.KS,Stock,Korea,KRW
Samsung E&A / 028050.KS,028050.KS,Stock,Korea,KRW
Hanwha Corporation / 000880.KS,000880.KS,Stock,Korea,KRW
Mirae Asset Securities / 006800.KS,006800.KS,Stock,Korea,KRW
Kiwoom Securities / 039490.KS,039490.KS,Stock,Korea,KRW
Hanjin Kal / 180640.KS,180640.KS,Stock,Korea,KRW
DB Insurance / 005830.KS,005830.KS,Stock,Korea,KRW
HYBE / 352820.KS,352820.KS,Stock,Korea,KRW
Kolon TissueGene / 950160.KQ,950160.KQ,Stock,Korea,KRW
POSCO International / 047050.KS,047050.KS,Stock,Korea,KRW
Korean Air Lines / 003490.KS,003490.KS,Stock,Korea,KRW
Samyang Foods / 003230.KS,003230.KS,Stock,Korea,KRW
Hankook Tire & Technology / 161390.KS,161390.KS,Stock,Korea,KRW
Isu Petasys / 007660.KS,007660.KS,Stock,Korea,KRW
Daewoo Engineering & Construction / 047040.KS,047040.KS,Stock,Korea,KRW
Wonik IPS / 240810.KQ,240810.KQ,Stock,Korea,KRW
LG CNS / 064400.KS,064400.KS,Stock,Korea,KRW
HLB / 028300.KQ,028300.KQ,Stock,Korea,KRW
GS Holdings / 078930.KS,078930.KS,Stock,Korea,KRW
Sanil Electric / 062040.KS,062040.KS,Stock,Korea,KRW
SK Biopharmaceuticals / 326030.KS,326030.KS,Stock,Korea,KRW
Coway / 021240.KS,021240.KS,Stock,Korea,KRW
Daeduck Electronics / 353200.KS,353200.KS,Stock,Korea,KRW
Shinsegae / 004170.KS,004170.KS,Stock,Korea,KRW
Doosan Bobcat / 241560.KS,241560.KS,Stock,Korea,KRW
Taihan Cable & Solution / 001440.KS,001440.KS,Stock,Korea,KRW
LG Uplus / 032640.KS,032640.KS,Stock,Korea,KRW
Leeno Industrial / 058470.KQ,058470.KQ,Stock,Korea,KRW
ABL Bio / 298380.KQ,298380.KQ,Stock,Korea,KRW
Hanwha Solutions / 009830.KS,009830.KS,Stock,Korea,KRW
LG Display / 034220.KS,034220.KS,Stock,Korea,KRW
